t,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,gap_1_10_mean,gap_1_2_mean,gap_1_2_median,gap_1_5_mean,n_valid_mean,ndcg_at_10,near_tie_count_frac0.001,near_tie_count_frac0.01,near_tie_count_frac0.05,oracle_action_acc,selected_individual_future_mse,spearman,utility_range_mean
1,0.0011817226890756302,0.015675203906012184,0.007542171280737184,0.12010499201773689,864.8760469260336,699.8109243697479,0.5461869506525392,0.08838970657778482,0.023094607811096367,0.01822456720621646,0.057793575042111314,7201.0,0.9576491459327585,1.0025603991596639,1.0278052399639321,1.1422315254932691,0.0011817226890756302,0.9886267451303345,0.21292870782589532,0.08838970657778482
2,0.01687237394957983,0.10161270390601218,0.06046481092436975,0.07584652821474686,546.0950051956818,391.1932773109244,0.4408813125273886,0.08851854192159538,0.023156979081158314,0.018299968709715276,0.05789793561214675,7200.0,0.9701452958984536,1.0025603991596639,1.0278052399639321,1.1422971767537735,0.01687237394957983,0.8833538285073113,0.28903347975849336,0.08851854192159538
3,0.02035189075630252,0.11500556104886933,0.06972163865546219,0.07479438261997674,538.4447601703034,384.5987394957983,0.4080655263783802,0.08861064204668329,0.023270602487692877,0.018281064004081637,0.058008446422221624,7199.0,0.9714451021507007,1.0025603991596639,1.0275426349219154,1.1419032691907482,0.02035189075630252,0.850950967410908,0.2934457728965295,0.08861064204668329
4,0.021402310924369748,0.11566207365391135,0.06971391497821618,0.07490328383072428,539.1538362903756,384.59033613445376,0.4064330066311635,0.0887002363505562,0.023334807010970134,0.018348584608996615,0.0581190029923225,7198.0,0.9715838369702091,1.0025603991596639,1.0278052399639321,1.1422315254932691,0.021402310924369748,0.8497527568217587,0.2945504391228924,0.0887002363505562
5,0.017725840336134453,0.1135689569950229,0.0670878645580481,0.07524223298572019,541.5183518033068,386.2920168067227,0.41499704070107524,0.0887010293707502,0.023347686593197754,0.01825450122857294,0.05807726427535096,7197.0,0.971414303078371,1.0025603991596639,1.027411332400907,1.1413124078462105,0.017725840336134453,0.8588050745051949,0.2948677310197191,0.0887010293707502
6,0.015756302521008403,0.10928617770775777,0.06465876791939265,0.07550528395564898,543.3360224170846,386.60084033613447,0.418780815709351,0.08880499814159605,0.023416855236018438,0.018300918987443467,0.05817261893261114,7196.0,0.9711464593390456,1.0024947478991597,1.026754819795865,1.1397367775941096,0.015756302521008403,0.8629643927727427,0.29498123906357565,0.08880499814159605
7,0.015034138655462185,0.1066601272875897,0.06262357884376239,0.07571431189998515,544.764474019283,387.4579831932773,0.4348714679651776,0.08887470038431626,0.02340386390682122,0.018337016126939228,0.05825912655270541,7195.0,0.9708634629970839,1.0024947478991597,1.0268861223168735,1.1401963364176388,0.015034138655462185,0.879461987585831,0.2949448119654319,0.08887470038431626
8,0.014107297331157351,0.10337756426237962,0.061376204894182565,0.07595184588405703,546.3975802830288,389.327731092437,0.4346025457777897,0.08892747485411487,0.023429366896915084,0.018238868423494974,0.05829904043896343,7194.0,0.9706491573768503,1.002626050420168,1.0270174248378818,1.14052459272016,0.014107297331157351,0.8795729470478386,0.2948274622384903,0.08892747485411487
9,0.015034138655462185,0.10121107266574096,0.06099002100840336,0.07615753526588072,547.8011501536649,390.0966386554622,0.43546737812678604,0.08904815212913453,0.023473682567798103,0.018331943721580906,0.05838641778031802,7193.0,0.9704326314835989,1.0027573529411764,1.0272143786193944,1.1400650338966305,0.015034138655462185,0.8807840939266842,0.29464633439350063,0.08904815212913453
10,0.013195903361344538,0.09792850964053088,0.057896688087459874,0.07641092330283884,549.547361678436,391.49789915966386,0.4435246065102455,0.08914544670881719,0.023513514667890277,0.01840444010909365,0.058497517724314066,7192.0,0.9701335336230382,1.0027573529411764,1.0276082861824196,1.1401963364176388,0.013195903361344538,0.8892048573857095,0.2945156704511325,0.08914544670881719
