metric,B0,C0,D1,T1,OPC1
stage2_mse,0.37312,0.39525834740945864,0.3891593878968532,0.37455270047614625,0.3734018075585396
gap_recovery,,-0.26263012014518994,-0.2317463703037231,-0.010015041357651635,-0.009110741687242697
hard_aggregate_mse_seq,,0.5513873813344065,0.5480242880675145,0.40960248990531073,0.4109821025670375
t1_spearman_top1pct,,0.21278517360566185,0.28318469362333415,0.16497338520770427,0.2795655777024513
t1_oracle_rank_median,,99,47,144,44
t2_hurt_frac,,0.232,0.122,0.264,0.2
t2_selected_rank_median,,1934.0,88.0,135.5,47.0
t2_spearman_top1pct,,0.14044038745970466,0.32939174376660957,0.40856060798314864,0.4795644399432931
t2_continuation_regret,,0.34980106046050785,0.1963780655991286,0.23031406281329692,0.1421835941746831
