step,choice_ce,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.886683685438973,0.0027901785714285715,0.011625744047619048,0.007347470238095238,0.20667237085927764,6740.476934523809,4851.660714285715,0.8815283620414058,32615.521484375,0.9428465412486167,0.0013950892857142857,1.175460910036539,0.1422490183148991
2,4.625484317541122,0.3880208333333333,0.7930617559523809,0.7497209821428571,0.03309147352964222,1079.2315848214287,202.4404761904762,0.06071396737789585,32614.521484375,0.9975388211508592,0.3853236607142857,0.3623982978069329,0.17343341813508215
3,4.693964318150566,0.34914434523809523,0.7566034226190477,0.6964285714285714,0.028010603230346272,914.0396205357143,193.9047619047619,0.08693306536030745,32613.521484375,0.9971337886083693,0.34756324404761907,0.39323975924846655,0.17827026043852795
4,4.812253140267872,0.33798363095238093,0.7103794642857143,0.654296875,0.026011008741469204,848.6233258928571,67.70238095238095,0.0758427377405629,32612.521484375,0.9970520976043883,0.33677455357142855,0.386202743200816,0.1814586605019599
5,4.984904598622095,0.3058965773809524,0.6787574404761905,0.6106770833333334,0.02781473124209047,907.0551525297619,117.77678571428571,0.08704423708793402,32611.521484375,0.9966507275544462,0.30505952380952384,0.4010644233394054,0.183652712117529
6,5.176191684745607,0.28757440476190477,0.6322544642857143,0.5663132440476191,0.030180998323863777,984.3929501488095,152.19940476190476,0.08594474530491154,32610.521484375,0.9964343625165167,0.28683035714285715,0.4036606605631754,0.18606968334182739
7,5.309864271254766,0.2649739583333333,0.6012834821428571,0.5305989583333334,0.02966267998434497,967.5211123511905,157.02083333333334,0.08522360607426413,32609.521484375,0.9961202334435213,0.2642299107142857,0.40609226498114975,0.18803921490740821
8,5.470510773005939,0.23409598214285715,0.5632440476190477,0.4916294642857143,0.031027894748235883,1012.1075148809524,137.5297619047619,0.08903330828410985,32608.521484375,0.9957762289614904,0.23353794642857142,0.4128294411534409,0.18996304631199343
9,5.599719136953354,0.22870163690476192,0.5282738095238095,0.4614955357142857,0.02949640474941719,961.8747209821429,110.4047619047619,0.09034287487061408,32607.521484375,0.9953438118100166,0.22795758928571427,0.4166609904411979,0.191951875764936
10,5.6754290163517,0.21307663690476192,0.5072544642857143,0.43517485119047616,0.030230443667191832,985.8125930059524,150.5654761904762,0.09407956392425106,32606.521484375,0.9949213065916583,0.21270461309523808,0.42282012312326905,0.19394512428518698
