step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,wce_loss,wce_weighted_topk_ce_loss,wce_weighted_topk_effective_positives,wce_weighted_topk_oracle_mass,wce_weighted_topk_top1_weight,wce_weighted_topk_weight_entropy
0,0.009080762987012988,0.0786323051948052,0.04276582792207792,0.08588172586985512,725.6147017045455,543.5746753246754,0.47742696006649304,8449.0,0.9718073435224496,0.009080762987012988,0.6684031867930158,0.39763031232616247,7.238482674607983,7.238482674607983,9.186606727637253,0.023411964663711086,0.1781599192287434,2.200354745442217
1,0.00968952922077922,0.07873376623376624,0.04190340909090909,0.08404570473104794,710.0181107954545,529.2840909090909,0.48311150669537534,8448.0,0.9727441906541973,0.00968952922077922,0.6745292037746615,0.4346510377794633,7.148111588769145,7.148111588769145,9.185373371297663,0.0215574436310876,0.1782094892114401,2.2000747909406564
2,0.008269074675324676,0.07645089285714286,0.041700487012987016,0.08418581072555162,711.1175426136364,531.672077922078,0.4825367077023952,8447.0,0.9728425754742189,0.008269074675324676,0.6743412367068231,0.43578460237676175,7.150545558372102,7.150545558372102,9.183460732172062,0.021244865470286534,0.17825841812973287,2.1997079369309662
3,0.008218344155844156,0.07705965909090909,0.040888798701298704,0.08426044977603817,711.6637581168832,532.3327922077922,0.48518980776909254,8446.0,0.9728356919118336,0.008218344155844156,0.6772775690588351,0.4362142251983547,7.153410404533535,7.153410404533535,9.180694192647934,0.02099289565603022,0.17852390965132356,2.1991707024636207
4,0.009030032467532468,0.07695819805194805,0.03972199675324675,0.08427893348291579,711.7355925324675,533.4788961038961,0.4894388269560484,8445.0,0.9727489993750275,0.009030032467532468,0.6817389429038898,0.43641647369935077,7.155794449440845,7.155794449440845,9.17656333376835,0.020796368702246004,0.1788582176381311,2.198511087468692
5,0.009131493506493506,0.07634943181818182,0.03911323051948052,0.08431312002320229,711.9399857954545,534.0795454545455,0.4945402998014583,8444.0,0.9726258081855712,0.009131493506493506,0.6872349852051998,0.4365042777318171,7.16062604529517,7.16062604529517,9.174618307646218,0.020554478331508686,0.1791563421342667,2.1983361770580343
6,0.009385146103896104,0.07411728896103896,0.03804788961038961,0.08435347984477748,712.1964285714286,533.4691558441558,0.49162808945402503,8443.0,0.9725175205763285,0.009385146103896104,0.6846206037013175,0.43654127545510935,7.163718079591726,7.163718079591726,9.17245154566579,0.020397022955640078,0.17936766662864717,2.197954116510106
7,0.007051542207792208,0.0721387987012987,0.03612012987012987,0.08442930970936273,712.7522321428571,535.0795454545455,0.49982160506407164,8442.0,0.972360180376412,0.007051542207792208,0.6932057355252372,0.43654051918074166,7.168411675985757,7.168411675985757,9.17111214105185,0.020176312845263042,0.17961410909600847,2.1977931319119093
8,0.007102272727272727,0.07203733766233766,0.03891030844155844,0.08445449909002538,712.8804281655844,534.8003246753246,0.5093790468965451,8441.0,0.9721859640308789,0.007102272727272727,0.7030019929584164,0.4365137475751395,7.171194200391893,7.171194200391893,9.168363010728514,0.02004441828315763,0.17984708593311635,2.197315302375075
9,0.007508116883116883,0.07269683441558442,0.040635146103896104,0.08455746145008053,713.6649756493506,535.1688311688312,0.5025248540634918,8440.0,0.9721559240639984,0.007508116883116883,0.6964228247857785,0.4364636464590928,7.173574902794578,7.173574902794578,9.165781395775932,0.019929387886474036,0.18007432462574988,2.196834400876776
