step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,12.768437296152115,0.4899340995176175,9.453223928228601,,0.00882711038961039,0.0687398538961039,0.03809862012987013,0.10847512665161237,916.5063413149351,620.2467532467532,0.4899340995176175,,1.0,8449.0,0.9700362795552651,0.9755599006236374,0.00882711038961039,915.5063413149351,0.6809103233292215,0.13451157242224174,6.116452744254818,,10.0,2.2463097189153944,8.919873531762656,0.0687398538961039,0.00882711038961039,0.022060159718929245,0.03809862012987013,0.029265638634817813,
1,5.398941880600019,0.23628005978058686,9.448957139795477,10.0,0.033887987012987016,0.23112824675324675,0.13600852272727273,0.017792216463576906,150.3086444805195,76.34253246753246,0.23628005978058686,1.0,0.0,8448.0,0.7264435007297373,0.9753639634166446,0.033887987012987016,,0.7144114207113524,0.28582423047987354,6.133706078126833,6.133706020070361,10.0,2.24585854929763,8.904033368284052,,,,,0.06307567509878487,0.06307567454921384
2,4.298222532229764,0.1664232629496459,9.44612211066407,10.0,0.03221387987012987,0.2364549512987013,0.13631290584415584,0.015369173203210964,129.8234070616883,64.68344155844156,0.1664232629496459,1.0,0.0,8447.0,0.686989520422437,0.9752334274061314,0.03221387987012987,,0.733068477501488,0.21537612380736934,6.156276954458906,6.156276884791139,10.0,2.245557985135487,8.894595962066155,,,,,0.06205728287920477,0.062057282106630356
3,3.577577680929915,0.12637342864574938,9.441435335518477,10.000507305194805,0.033076298701298704,0.23787540584415584,0.1370231331168831,0.014501732904479125,122.48163555194805,58.22077922077922,0.12637342864574938,1.0,0.0,8446.0,0.6669759334778631,0.9749956190973134,0.033076298701298704,,0.7327143951778772,0.1776292780188345,6.175692381796899,6.175692321418167,10.000507305194805,2.245047146236742,8.882190504631438,,,,,0.06068976778482607,0.06068976720274946
4,3.358660929630716,0.10294480771793947,9.441122929771225,10.001116071428571,0.03119926948051948,0.2346793831168831,0.13184862012987014,0.01426908047784758,120.50238433441558,58.45616883116883,0.10294480771793947,1.0,0.0,8445.0,0.6527637654988022,0.9749547085398204,0.03119926948051948,,0.7399932319395147,0.1506182259970979,6.193019714448359,6.193019641684248,10.001116071428571,2.2449776147093092,8.879887130353358,,,,,0.05938441251395512,0.05938441175271987
5,3.1606249182255235,0.08691979841746439,9.437975651257998,10.000405844155845,0.028967126623376624,0.23006290584415584,0.1291599025974026,0.014172829863588497,119.67537540584415,58.78409090909091,0.08691979841746439,1.0,0.0,8444.0,0.6423810237607399,0.9748414579730529,0.028967126623376624,,0.7427435649873374,0.13229532178099357,6.20893114495587,6.20893105516186,10.000405844155845,2.2446898798663897,8.87302504576646,,,,,0.058329789218940324,0.05832978848265121
6,3.0086580603685857,0.0760523523022602,9.43773514419407,10.000050730519481,0.026633522727272728,0.22854099025974026,0.1286018668831169,0.014735806965964238,124.41441761363636,64.10551948051948,0.0760523523022602,1.0,0.0,8443.0,0.6340376524762674,0.9748456203318262,0.026633522727272728,,0.7509762769710128,0.11832171150808135,6.223699939715398,6.2236998793366665,10.000050730519481,2.2446697307871535,8.871374500262274,,,,,0.05691027599946269,0.05691027545518326
7,2.924013124754677,0.06713967404310144,9.437606043629833,10.00010146103896,0.028358360389610388,0.22894683441558442,0.1299208603896104,0.013502550966931468,113.98853490259741,57.40422077922078,0.06713967404310144,1.0,0.0,8442.0,0.6282828611793456,0.9748378340880592,0.028358360389610388,,0.7559568187608928,0.10737743654653792,6.237726005640897,6.237725922039577,10.00010146103896,2.2446565252619903,8.86904649455826,,,,,0.0562301667984696,0.05623016578550511
8,2.8281877422100536,0.06002448118207129,9.436608424434414,10.0,0.028256899350649352,0.22275771103896103,0.12652191558441558,0.013650320098727738,115.22235186688312,58.14772727272727,0.06002448118207129,1.0,0.0,8441.0,0.6231445464511196,0.9747961722798162,0.028256899350649352,,0.7569014947111536,0.09818160515393047,6.251007885901959,6.251007812363761,10.0,2.2445511612799263,8.866682125376416,,,,,0.055329483016031224,0.055329482267647015
9,2.758301165003281,0.05447728247396866,9.436996732439313,10.000456574675324,0.025872564935064936,0.22017045454545456,0.12373173701298701,0.013464805490262475,113.6429586038961,57.633116883116884,0.05447728247396866,1.0,0.0,8440.0,0.618601076353293,0.974794782891676,0.025872564935064936,,0.7578775733588384,0.09007793550335512,6.263681485281362,6.26368140013187,10.000456574675324,2.2445858097695686,8.866044126547775,,,,,0.0545648475111063,0.054564847059052
