step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass
0,12.565075373107737,0.48786213137088463,9.453223928228601,0.00882711038961039,0.07335633116883117,0.040635146103896104,0.10545834492893538,891.0175527597403,613.6866883116883,0.48786213137088463,1.0,8449.0,0.9708941726909055,0.9755599006236374,0.00882711038961039,890.0175020292207,0.6788383562649999,0.1671590724476929,6.1498212814331055,10.0,2.2463097189153944,8.919873531762656,0.07335633116883117,0.00882711038961039,0.022060159718929245,0.040635146103896104,0.02983235165336666
1,7.038879466037471,0.2332652904571022,9.448485088038755,0.04022930194805195,0.26461038961038963,0.1554890422077922,0.016122336783249827,136.20150162337663,74.0211038961039,0.2332652904571022,0.0,8448.0,0.7171777228449846,0.9753413235212302,0.04022930194805195,135.20150162337663,0.7531340650718223,0.31159875990024055,6.17870603908192,10.0,2.2458064192301266,8.903539002715767,0.26461038961038963,0.04022930194805195,0.026279292004128128,0.1554890422077922,0.06617090818600717
2,4.803150206411185,0.16360183844687537,9.444101262402224,0.03860592532467533,0.272067775974026,0.1561992694805195,0.013116923257540918,110.79865056818181,53.003246753246756,0.16360183844687537,0.0,8447.0,0.6792534355122548,0.9751403926835431,0.03860592532467533,109.79865056818181,0.7589027389654188,0.24488939018129424,6.1989733127804545,10.0,2.2453437664292077,8.889986406673085,0.272067775974026,0.03860592532467533,0.020848676647636403,0.1561992694805195,0.06485466081150142
3,3.7760342268345806,0.12365240073012938,9.441171198696285,0.036678165584415584,0.2734882305194805,0.16238839285714285,0.01144229688711144,96.6416396103896,47.074675324675326,0.12365240073012938,0.0,8446.0,0.6612970561950238,0.9750057612727214,0.036678165584415584,95.6416396103896,0.7617987329745061,0.2101967331312968,6.217359761913102,10.0,2.245033771573723,8.88154716615553,0.2734882305194805,0.036678165584415584,0.01721355026236708,0.16238839285714285,0.06335286987271135
4,3.449975070531492,0.09993773258847559,9.43908804268032,0.03601866883116883,0.26973417207792205,0.16081574675324675,0.01099196705127996,92.82716112012987,44.1948051948052,0.09993773258847559,0.0,8445.0,0.6482970971468981,0.9749096021443219,0.03601866883116883,91.82716112012987,0.7658064093489152,0.18253399871728018,6.233936251757981,10.0,2.2448123503815043,8.875823202071253,0.26973417207792205,0.03601866883116883,0.01459203949716893,0.16081574675324675,0.062196844915085314
5,3.225903071559869,0.08448575575406626,9.437962648156402,0.03495332792207792,0.2662337662337662,0.16025771103896103,0.010712634767503016,90.45748782467533,43.407467532467535,0.08448575575406626,0.0,8444.0,0.6386124627640495,0.9748582910601195,0.03495332792207792,89.45748782467533,0.7708897353210425,0.16208162297039275,6.249229911859933,10.0,2.244694201203136,8.871346004597552,0.2662337662337662,0.03495332792207792,0.012703855610942066,0.16025771103896103,0.06088601800162563
6,2.9760896428064867,0.07169319120048268,9.438126790059076,0.03622159090909091,0.2671976461038961,0.1598518668831169,0.010409153975432402,87.88448660714286,43.438311688311686,0.07169319120048268,0.0,8443.0,0.6323298992371404,0.9748510661256777,0.03622159090909091,86.88448660714286,0.7619555986958084,0.14647840934785658,6.263532606812267,10.000355113636363,2.2447055775623816,8.8697843706453,0.2671976461038961,0.03622159090909091,0.011255559682703952,0.1598518668831169,0.059804215397558765
7,2.900695529464003,0.06308134832848832,9.438516502256517,0.03825081168831169,0.2601968344155844,0.15011160714285715,0.010465888797058709,88.35303368506493,42.439935064935064,0.06308134832848832,0.0,8442.0,0.6264299503104254,0.9748754728730623,0.03825081168831169,87.35303368506493,0.7631239290470136,0.1329866600738417,6.277026413323044,10.000202922077921,2.2447503967718645,8.870175285772843,0.2601968344155844,0.03825081168831169,0.01008430663252464,0.15011160714285715,0.05876770658515297
8,2.8229892080069168,0.05604957560585304,9.437952809519581,0.033380681818181816,0.2526887175324675,0.1444805194805195,0.010045514354053674,84.79418628246754,42.621753246753244,0.05604957560585304,0.0,8441.0,0.6213438259316729,0.9747889393142292,0.033380681818181816,83.79418628246754,0.7727651714843202,0.12132716723272982,6.289855633463178,10.001572646103897,2.244620280606406,8.867453746981434,0.2526887175324675,0.033380681818181816,0.009073447121054769,0.1444805194805195,0.05780683391781935
9,3.9994953388904597,0.05111332103238114,9.438822339107464,0.03241680194805195,0.2461444805194805,0.13737824675324675,0.010215527766577706,86.21905438311688,43.64772727272727,0.05111332103238114,0.0,8440.0,0.6161137952820047,0.9748262949771695,0.03241680194805195,85.21905438311688,0.7784430287149432,0.11138844554415885,6.302060475597134,10.001623376623376,2.2447054444195387,8.868395139644672,0.2461444805194805,0.03241680194805195,0.008276520005987454,0.13737824675324675,0.05690057691740017
