step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,12.430564067580484,0.48090726366968123,9.453223928228601,,0.009182224025974026,0.07401582792207792,0.03967126623376623,0.09709323095550833,820.3407061688312,586.400974025974,0.48090726366968123,,1.0,8449.0,0.9715659914465694,0.9755599006236374,0.009182224025974026,819.3406554383117,0.6718834915936187,0.20164578996240698,6.193925204215112,,10.0,2.2463097189153944,8.919873531762656,0.07401582792207792,0.009182224025974026,0.022060159718929245,0.03967126623376623,0.029892679269902477,
1,8.4605151375925,0.23415383341564955,9.448386128846701,10.0,0.04291801948051948,0.2806412337662338,0.16933847402597402,0.014765625795940627,124.74000608766234,70.07954545454545,0.23415383341564955,1.0,0.0,8448.0,0.7088678222778556,0.9753376127450497,0.04291801948051948,,0.7883205781025546,0.36142044362779496,6.213024008583713,6.213023928078738,10.0,2.2457978690599467,8.903373303351465,,,,,0.06560470043324756,0.06560469966369693
2,5.112422756360868,0.16250432129229672,9.444210996875515,10.000456574675324,0.041243912337662336,0.2960633116883117,0.17689732142857142,0.010998895462597085,92.90767045454545,44.90909090909091,0.16250432129229672,1.0,0.0,8447.0,0.6707787221999137,0.9751262785745906,0.041243912337662336,,0.7873732477196722,0.2848384914671681,6.227313770102216,6.2273136988862765,10.000456574675324,2.245346611970431,8.88929163480734,,,,,0.06445254590861234,0.06445254516627567
3,3.976002316002722,0.12256717735556764,9.441207593137568,10.001166801948052,0.03814935064935065,0.2909902597402597,0.17070819805194806,0.00956195210963344,80.76024756493507,39.62012987012987,0.12256717735556764,1.0,0.0,8446.0,0.6541201140876715,0.9749562567124119,0.03814935064935065,,0.7876000659383059,0.24694199274554024,6.2423146730893615,6.242314590262128,10.001166801948052,2.244997755660639,8.880202346033863,,,,,0.06296411121276195,0.06296411042960433
4,54.17700140110471,0.09737980713336063,9.441342785760954,10.002536525974026,0.04235998376623377,0.2936282467532468,0.1718242694805195,0.008853505918121701,74.76785714285714,36.28409090909091,0.09737980713336063,1.0,0.0,8445.0,0.6430621905760332,0.9749016716302216,0.04235998376623377,,0.7868246146864802,0.21609416898772596,6.256333010537284,6.256332951706725,10.002536525974026,2.244933432572848,8.877383770880762,,,,,0.061966607906529074,0.061966607201233655
5,3.2204184170280183,0.08168208633334824,9.438754295373892,10.000558035714286,0.040787337662337664,0.2909395292207792,0.170606737012987,0.008336242766272808,70.39123376623377,34.27597402597402,0.08168208633334824,1.0,0.0,8444.0,0.634722820592004,0.9748712210105611,0.040787337662337664,,0.7885535667142407,0.19240578530257774,6.269523558678565,6.2695234750772455,10.000558035714286,2.2447700330189297,8.872350070383641,,,,,0.06083893349965696,0.06083893268550565
6,3.037528328307263,0.0705834795054133,9.438344859457635,10.002181412337663,0.03840300324675325,0.29053368506493504,0.1697950487012987,0.008389402665351873,70.83172686688312,35.717532467532465,0.0705834795054133,1.0,0.0,8443.0,0.6288115333330322,0.9747800337416785,0.03840300324675325,,0.7970983747441274,0.17432025244688895,6.281907860334817,6.281907801504259,10.002181412337663,2.2446320451699293,8.86861479746831,,,,,0.05988340964087273,0.05988340889702418
7,2.9042344630345123,0.06119016098091379,9.43843549257749,10.001775568181818,0.040990259740259744,0.28606939935064934,0.16685267857142858,0.008128955821510837,68.62464488636364,35.86201298701299,0.06119016098091379,1.0,0.0,8442.0,0.6231627422687295,0.9748014039420462,0.040990259740259744,,0.7912986538820452,0.15850875421121258,6.293635568835518,6.293635448852143,10.001775568181818,2.244656840702156,8.867510855971993,,,,,0.05900506829909448,0.05900506757338858
8,2.8647746687585656,0.05504310095921618,9.439935484489837,10.003956980519481,0.03556209415584415,0.2766842532467532,0.157518262987013,0.008322750127357626,70.2523336038961,36.375,0.05504310095921618,1.0,0.0,8441.0,0.6195668062896698,0.9747721200639551,0.03556209415584415,,0.7998842144409171,0.14610179344129418,6.304854118978822,6.304854038473848,10.003956980519481,2.244659690113811,8.868115490133112,,,,,0.05814062723248907,0.05814062657179432
9,2.7792154162057807,0.04840970438505922,9.442482644861395,10.007305194805195,0.03469967532467533,0.27445211038961037,0.15584415584415584,0.008154420076324016,68.82330560064935,35.313311688311686,0.04840970438505922,1.0,0.0,8440.0,0.6168366357103571,0.9747379705696911,0.03469967532467533,,0.7801256320898893,0.135113818805441,6.315507374800645,6.315507286554807,10.007305194805195,2.244674393108913,8.869601876704724,,,,,0.05752341440642954,0.057523413329965786
