step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,gap_1_10,gap_1_2,is_t0_hard_ce,multipos_loss,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,positive_count_max,positive_count_mean,positive_count_median,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_in_positive_rate,top1_top2_margin_mean,top5_acc,topm_probability_mass
0,12.927093232800434,0.49504397631707514,9.453223928228601,0.009030032467532468,0.07218952922077922,0.03896103896103896,0.10872031240603076,918.577922077922,620.3474025974026,0.49504397631707514,,,1.0,,8449.0,0.9703520166796523,0.9755599006236374,0.009030032467532468,,,,917.577922077922,0.6860202008180998,0.12737743508729268,6.132838276299563,10.0,2.2463097189153944,8.919873531762656,0.07218952922077922,0.009030032467532468,,0.022060159718929245,0.03896103896103896,0.029544571430240276
1,5.699161707387342,0.2354970898588079,9.448492897021307,0.036576704545454544,0.24421672077922077,0.1447849025974026,0.016705984072631238,141.13215300324674,74.94318181818181,0.2354970898588079,0.09829390565743791,0.02658840560105965,0.0,4.244934587509601,8448.0,0.7229857442344164,0.9753423799555023,0.036576704545454544,6.253246753246753,3.248934659090909,3.0795454545454546,,0.7260589989797248,0.285102563971026,6.16044290654071,10.0,2.245808851022225,8.9034583398274,,,1.0,,,0.06498065723186396
2,4.319300133396279,0.1636288379494391,9.444773553253768,0.03449675324675325,0.2578125,0.15097402597402598,0.013890294856915338,117.33132102272727,56.050324675324674,0.1636288379494391,0.07358017040215517,0.020996649751844877,0.0,4.246363238467799,8447.0,0.683753865444428,0.9751708717508749,0.03449675324675325,6.189935064935065,3.1525974025974026,3.00974025974026,,0.7390419504327046,0.22216479242716594,6.182666170906711,10.0,2.2454139396741795,8.891542776838525,,,1.0,,,0.06377729815400701
3,3.6027719803976934,0.12453098026521553,9.441193918129066,0.036982548701298704,0.25695008116883117,0.14899553571428573,0.012940258778982822,109.29342532467533,53.37337662337662,0.12453098026521553,0.05887866455852961,0.01732042309207851,0.0,4.266259697737632,8446.0,0.6631065028441416,0.9749985032460906,0.036982548701298704,6.048701298701299,3.086799918831169,2.939935064935065,,0.7433380806673463,0.18460710390698465,6.201908291934372,10.000202922077921,2.245033578052149,8.881761934850124,,,1.0,,,0.062326418368188155
4,3.3294417906504172,0.10237673887462875,9.438921857189822,0.032568993506493504,0.2546672077922078,0.14148741883116883,0.012430190742575236,104.97296063311688,50.892857142857146,0.10237673887462875,0.04894190208189637,0.014712183641771749,0.0,4.287040878038902,8445.0,0.6486133168657104,0.9749005461087474,0.032568993506493504,6.029220779220779,3.049310064935065,2.896103896103896,,0.7559225222083752,0.1589715054116248,6.219296854811829,10.000050730519481,2.2447961743001814,8.87586440823295,,,1.0,,,0.06069720315886057
5,3.1285168473403173,0.0853874916286365,9.437967537285445,0.03109780844155844,0.24959415584415584,0.14229910714285715,0.01189712393614456,100.45931412337663,49.77597402597402,0.0853874916286365,0.04220098634469686,0.012855900722782978,0.0,4.307925318742727,8444.0,0.639515690795787,0.9748564149652209,0.03109780844155844,6.009740259740259,3.0213068181818183,2.852272727272727,,0.747961387963506,0.14026326063550126,6.235189551656896,10.000050730519481,2.2446945801183773,8.872791979220006,,,1.0,,,0.059528158466609846
6,2.979637750702632,0.07450499521816367,9.436507088797432,0.032822646103896104,0.24852881493506493,0.14356737012987014,0.01199379914724922,101.26364650974025,50.478896103896105,0.07450499521816367,0.037017200427891854,0.011455958793124988,0.0,4.326721593544081,8443.0,0.6305673634270569,0.9747915886245765,0.032822646103896104,5.970779220779221,3.0010146103896105,2.840909090909091,,0.7546144605118346,0.12517821850794286,6.250066497109153,10.0,2.2445406189986636,8.868438499314445,,,1.0,,,0.058363880300682715
7,2.9269553228438676,0.0653413017854917,9.436720625146643,0.030286120129870128,0.24096996753246752,0.13940746753246752,0.011936316788209793,100.76638595779221,51.83116883116883,0.0653413017854917,0.032967357743189776,0.010354083459894248,0.0,4.357959906389187,8442.0,0.6247486641945003,0.9747991499962745,0.030286120129870128,5.951298701298701,2.9659598214285716,2.7824675324675323,,0.7559766267099745,0.11293885950150948,6.2641211539119865,10.000050730519481,2.2445627431590838,8.867325697626386,,,1.0,,,0.0572529215261328
8,2.8109399173166847,0.058433498118326745,9.435606883717822,0.02947443181818182,0.23863636363636365,0.13651582792207792,0.01187941568162375,100.27414772727273,52.857142857142854,0.058433498118326745,0.029694510314253752,0.009449618653085856,0.0,4.376703971392148,8441.0,0.6196028595524175,0.9747412983666767,0.02947443181818182,5.883116883116883,2.9435369318181817,2.7646103896103895,,0.7578237767984437,0.10379591717018065,6.277495673724583,10.000202922077921,2.244442744301511,8.864181088162708,,,1.0,,,0.056524112196971794
9,2.7422413895656534,0.05280630864647471,9.435285171905122,0.030691964285714284,0.2344257305194805,0.1357041396103896,0.011716838583398184,98.8901176948052,52.41233766233766,0.05280630864647471,0.027062501363923422,0.008665916551030755,0.0,4.3879871995418105,8440.0,0.6148178611289371,0.9747266395912542,0.030691964285714284,5.891233766233766,2.9302455357142856,2.75974025974026,,0.7638289786984104,0.09554875253130736,6.290325487588907,10.000202922077921,2.2444087541722633,8.862656870445647,,,1.0,,,0.05577201352079774
