arm,scope,epoch0_top1,best_top1,epoch0_top5,best_top5,epoch0_top10,best_top10
individual+tf+cosine,overall,0.0023995535714285716,0.001171875,0.009514508928571428,0.006863839285714286,0.017103794642857145,0.016266741071428573
individual+tf+cosine,t1,0.0016741071428571428,0.0005580357142857143,0.009207589285714286,0.004743303571428571,0.018415178571428572,0.016741071428571428
individual+tf+cosine,tgeq2,0.00248015873015873,0.001240079365079365,0.009548611111111112,0.007099454365079365,0.016958085317460316,0.0162140376984127
individual+tf+asymmetric,overall,0.0023995535714285716,0.018470982142857143,0.009514508928571428,0.0591796875,0.017103794642857145,0.09263392857142858
individual+tf+asymmetric,t1,0.0016741071428571428,0.03208705357142857,0.009207589285714286,0.08844866071428571,0.018415178571428572,0.12862723214285715
individual+tf+asymmetric,tgeq2,0.00248015873015873,0.016958085317460316,0.009548611111111112,0.05592757936507937,0.016958085317460316,0.08863467261904762
individual+onpolicy+cosine,overall,0.001953125,0.0023995535714285716,0.009542410714285715,0.013197544642857143,0.01861049107142857,0.028180803571428572
individual+onpolicy+cosine,t1,0.0016741071428571428,0.0016741071428571428,0.009207589285714286,0.0078125,0.018415178571428572,0.022321428571428572
individual+onpolicy+cosine,tgeq2,0.001984126984126984,0.00248015873015873,0.009579613095238096,0.013795882936507936,0.01863219246031746,0.02883184523809524
individual+onpolicy+asymmetric,overall,0.001953125,0.007589285714285714,0.009542410714285715,0.03306361607142857,0.01861049107142857,0.061886160714285716
individual+onpolicy+asymmetric,t1,0.0016741071428571428,0.011160714285714286,0.009207589285714286,0.04017857142857143,0.018415178571428572,0.06808035714285714
individual+onpolicy+asymmetric,tgeq2,0.001984126984126984,0.007192460317460317,0.009579613095238096,0.03227306547619048,0.01863219246031746,0.061197916666666664
set+tf+cosine,overall,0.000390625,0.0016741071428571428,0.00234375,0.008900669642857142,0.004575892857142857,0.016964285714285713
set+tf+cosine,t1,0.0016741071428571428,0.0011160714285714285,0.009207589285714286,0.011160714285714286,0.018415178571428572,0.022879464285714284
set+tf+cosine,tgeq2,0.000248015873015873,0.001736111111111111,0.0015811011904761905,0.008649553571428572,0.0030381944444444445,0.016307043650793652
set+tf+asymmetric,overall,0.0004185267857142857,0.0023716517857142855,0.002260044642857143,0.011300223214285714,0.004575892857142857,0.021512276785714286
set+tf+asymmetric,t1,0.0016741071428571428,0.010881696428571428,0.009207589285714286,0.05078125,0.018415178571428572,0.08565848214285714
set+tf+asymmetric,tgeq2,0.00027901785714285713,0.0014260912698412698,0.001488095238095238,0.00691344246031746,0.0030381944444444445,0.014384920634920634
set+onpolicy+cosine,overall,0.03328683035714286,0.08353794642857143,0.141796875,0.3352678571428571,0.249609375,0.5219029017857143
set+onpolicy+cosine,t1,0.0016741071428571428,0.0030691964285714285,0.009207589285714286,0.019252232142857144,0.018415178571428572,0.03180803571428571
set+onpolicy+cosine,tgeq2,0.03679935515873016,0.09247891865079365,0.15652901785714285,0.37038070436507936,0.27529761904761907,0.5763578869047619
set+onpolicy+asymmetric,overall,0.033510044642857145,0.06322544642857143,0.14288504464285715,0.25926339285714284,0.2507533482142857,0.4276785714285714
set+onpolicy+asymmetric,t1,0.0016741071428571428,0.0027901785714285715,0.009207589285714286,0.015625,0.018415178571428572,0.03431919642857143
set+onpolicy+asymmetric,tgeq2,0.03704737103174603,0.06994047619047619,0.15773809523809523,0.2863343253968254,0.2765687003968254,0.47138516865079366
