arm,step,epoch0_top1,best_top1,epoch0_top5,best_top5,epoch0_top10,best_top10
individual+tf+cosine,1,0.0016741071428571428,0.0005580357142857143,0.009207589285714286,0.004743303571428571,0.018415178571428572,0.016741071428571428
individual+tf+cosine,2,0.001953125,0.00027901785714285713,0.010881696428571428,0.004743303571428571,0.017857142857142856,0.013113839285714286
individual+tf+cosine,3,0.002232142857142857,0.0,0.010881696428571428,0.0025111607142857145,0.018415178571428572,0.010602678571428572
individual+tf+cosine,4,0.0016741071428571428,0.0011160714285714285,0.006417410714285714,0.004464285714285714,0.014229910714285714,0.010881696428571428
individual+tf+cosine,5,0.0033482142857142855,0.001953125,0.011439732142857142,0.006975446428571429,0.019810267857142856,0.017857142857142856
individual+tf+cosine,6,0.003627232142857143,0.0008370535714285714,0.008091517857142858,0.007254464285714286,0.016741071428571428,0.017020089285714284
individual+tf+cosine,7,0.0025111607142857145,0.0013950892857142857,0.008649553571428572,0.006696428571428571,0.015625,0.017578125
individual+tf+cosine,8,0.0027901785714285715,0.0013950892857142857,0.011439732142857142,0.008649553571428572,0.018415178571428572,0.018415178571428572
individual+tf+cosine,9,0.002232142857142857,0.0027901785714285715,0.008091517857142858,0.010881696428571428,0.016741071428571428,0.018415178571428572
individual+tf+cosine,10,0.001953125,0.0013950892857142857,0.010044642857142858,0.01171875,0.014787946428571428,0.022042410714285716
individual+tf+asymmetric,1,0.0016741071428571428,0.03208705357142857,0.009207589285714286,0.08844866071428571,0.018415178571428572,0.12862723214285715
individual+tf+asymmetric,2,0.001953125,0.030970982142857144,0.010881696428571428,0.07589285714285714,0.017857142857142856,0.11328125
individual+tf+asymmetric,3,0.002232142857142857,0.021484375,0.010881696428571428,0.06305803571428571,0.018415178571428572,0.09988839285714286
individual+tf+asymmetric,4,0.0016741071428571428,0.014508928571428572,0.006417410714285714,0.056361607142857144,0.014229910714285714,0.09458705357142858
individual+tf+asymmetric,5,0.0033482142857142855,0.015066964285714286,0.011439732142857142,0.05803571428571429,0.019810267857142856,0.08928571428571429
individual+tf+asymmetric,6,0.003627232142857143,0.015066964285714286,0.008091517857142858,0.05357142857142857,0.016741071428571428,0.08286830357142858
individual+tf+asymmetric,7,0.0025111607142857145,0.013671875,0.008649553571428572,0.05217633928571429,0.015625,0.08454241071428571
individual+tf+asymmetric,8,0.0027901785714285715,0.016462053571428572,0.011439732142857142,0.052734375,0.018415178571428572,0.07672991071428571
individual+tf+asymmetric,9,0.002232142857142857,0.01171875,0.008091517857142858,0.04352678571428571,0.016741071428571428,0.07784598214285714
individual+tf+asymmetric,10,0.001953125,0.013671875,0.010044642857142858,0.04799107142857143,0.014787946428571428,0.07868303571428571
individual+onpolicy+cosine,1,0.0016741071428571428,0.0016741071428571428,0.009207589285714286,0.0078125,0.018415178571428572,0.022321428571428572
individual+onpolicy+cosine,2,0.0016741071428571428,0.0005580357142857143,0.009486607142857142,0.008649553571428572,0.018694196428571428,0.0234375
individual+onpolicy+cosine,3,0.001953125,0.001953125,0.010323660714285714,0.010881696428571428,0.018973214285714284,0.025948660714285716
individual+onpolicy+cosine,4,0.002232142857142857,0.0025111607142857145,0.009486607142857142,0.012555803571428572,0.019252232142857144,0.02734375
individual+onpolicy+cosine,5,0.001953125,0.0013950892857142857,0.009207589285714286,0.013113839285714286,0.018415178571428572,0.027064732142857144
individual+onpolicy+cosine,6,0.0016741071428571428,0.0025111607142857145,0.009207589285714286,0.015345982142857142,0.018415178571428572,0.029296875
individual+onpolicy+cosine,7,0.0030691964285714285,0.0025111607142857145,0.010044642857142858,0.015904017857142856,0.019252232142857144,0.031529017857142856
individual+onpolicy+cosine,8,0.0011160714285714285,0.003627232142857143,0.008928571428571428,0.016741071428571428,0.017857142857142856,0.031529017857142856
individual+onpolicy+cosine,9,0.002232142857142857,0.0030691964285714285,0.010044642857142858,0.016183035714285716,0.018973214285714284,0.03125
individual+onpolicy+cosine,10,0.001953125,0.004185267857142857,0.009486607142857142,0.014787946428571428,0.017857142857142856,0.03208705357142857
individual+onpolicy+asymmetric,1,0.0016741071428571428,0.011160714285714286,0.009207589285714286,0.04017857142857143,0.018415178571428572,0.06808035714285714
individual+onpolicy+asymmetric,2,0.0016741071428571428,0.009486607142857142,0.009486607142857142,0.03515625,0.018694196428571428,0.06305803571428571
individual+onpolicy+asymmetric,3,0.001953125,0.008091517857142858,0.010323660714285714,0.03376116071428571,0.018973214285714284,0.062220982142857144
individual+onpolicy+asymmetric,4,0.002232142857142857,0.006975446428571429,0.009486607142857142,0.033482142857142856,0.019252232142857144,0.05970982142857143
individual+onpolicy+asymmetric,5,0.001953125,0.007533482142857143,0.009207589285714286,0.033203125,0.018415178571428572,0.05915178571428571
individual+onpolicy+asymmetric,6,0.0016741071428571428,0.006138392857142857,0.009207589285714286,0.03125,0.018415178571428572,0.05998883928571429
individual+onpolicy+asymmetric,7,0.0030691964285714285,0.006417410714285714,0.010044642857142858,0.031529017857142856,0.019252232142857144,0.060825892857142856
individual+onpolicy+asymmetric,8,0.0011160714285714285,0.007254464285714286,0.008928571428571428,0.03180803571428571,0.017857142857142856,0.06277901785714286
individual+onpolicy+asymmetric,9,0.002232142857142857,0.007254464285714286,0.010044642857142858,0.030412946428571428,0.018973214285714284,0.06194196428571429
individual+onpolicy+asymmetric,10,0.001953125,0.005580357142857143,0.009486607142857142,0.029854910714285716,0.017857142857142856,0.06110491071428571
set+tf+cosine,1,0.0016741071428571428,0.0011160714285714285,0.009207589285714286,0.011160714285714286,0.018415178571428572,0.022879464285714284
set+tf+cosine,2,0.00027901785714285713,0.0030691964285714285,0.0016741071428571428,0.016183035714285716,0.004185267857142857,0.027064732142857144
set+tf+cosine,3,0.00027901785714285713,0.00027901785714285713,0.0027901785714285715,0.010602678571428572,0.004185267857142857,0.022042410714285716
set+tf+cosine,4,0.0,0.0016741071428571428,0.001953125,0.010044642857142858,0.004464285714285714,0.021205357142857144
set+tf+cosine,5,0.0011160714285714285,0.002232142857142857,0.001953125,0.008370535714285714,0.0027901785714285715,0.015345982142857142
set+tf+cosine,6,0.0,0.0025111607142857145,0.0011160714285714285,0.009486607142857142,0.0025111607142857145,0.015625
set+tf+cosine,7,0.0,0.0016741071428571428,0.0016741071428571428,0.005022321428571429,0.0030691964285714285,0.010881696428571428
set+tf+cosine,8,0.0005580357142857143,0.0013950892857142857,0.0011160714285714285,0.0078125,0.0013950892857142857,0.013392857142857142
set+tf+cosine,9,0.0,0.0011160714285714285,0.0011160714285714285,0.0030691964285714285,0.0027901785714285715,0.008928571428571428
set+tf+cosine,10,0.0,0.0016741071428571428,0.0008370535714285714,0.007254464285714286,0.001953125,0.012276785714285714
set+tf+asymmetric,1,0.0016741071428571428,0.010881696428571428,0.009207589285714286,0.05078125,0.018415178571428572,0.08565848214285714
set+tf+asymmetric,2,0.0,0.002232142857142857,0.001953125,0.01171875,0.004185267857142857,0.025390625
