query_id,anchor_policy,channel,i1,i2_dense,i2_oracle,A1,A2_dense,A2_oracle,delta_dense,delta_oracle,continuation_regret,dense_second_true_rank,dense_second_true_rank_fraction,oracle_second_predicted_rank,oracle_second_predicted_rank_fraction,n_remaining_valid,first_candidate_future_mse,dense_second_candidate_future_mse,oracle_second_candidate_future_mse,alpha1_dense,alpha2_dense,alpha1_oracle,alpha2_oracle,b0_score_i1,b0_score_i2_dense,b0_score_i2_oracle,spearman_all,spearman_true_top10pct,spearman_true_top5pct,spearman_true_top1pct,spearman_true_top50,spearman_true_top10,ratio_dense
0_0,dense_first,0,4485,6351,4177,0.3084423243999481,0.30857187509536743,0.08005170524120331,0.00012955069541931152,-0.2283906191587448,0.22852016985416412,6846,0.8293155663234404,4046,0.49012719563900664,8256,0.3084423243999481,13.729047775268555,0.0874713882803917,0.9999384880065918,6.152779678814113e-05,0.42803215980529785,0.5719678997993469,0.7075983285903931,-0.26199766993522644,0.7365867495536804,-0.041821934282779694,0.017664816230535507,0.04324430599808693,-0.028765466064214706,0.005618247203528881,-0.06666667014360428,1.0004199743270874
1_0,dense_first,0,3787,6351,4225,0.14724430441856384,0.1472529172897339,0.058137618005275726,8.612871170043945e-06,-0.08910668641328812,0.08911529928445816,6564,0.7952507874969712,2597,0.31463532832566027,8255,0.14724430441856384,12.83102035522461,0.11619436740875244,0.9999793767929077,2.060651604551822e-05,0.4923967123031616,0.5076032876968384,0.8602076768875122,-0.21878063678741455,0.8632491827011108,-0.003337721573188901,0.04142036661505699,-0.017597077414393425,-0.05109870061278343,-0.09695077687501907,0.3818182051181793,1.0000585317611694
2_0,dense_first,0,4353,6375,3410,0.22389733791351318,0.22386980056762695,0.06592340767383575,-2.753734588623047e-05,-0.15797393023967743,0.1579463928937912,6066,0.7350054525627044,1890,0.22900763358778625,8254,0.22389733791351318,13.899030685424805,0.07071451842784882,0.9997672438621521,0.00023276027059182525,0.3890468180179596,0.610953152179718,0.5408428311347961,-0.2956840991973877,0.5859748721122742,-0.05324524641036987,0.07805034518241882,0.08427955955266953,0.14397969841957092,0.4597839117050171,0.1515151709318161,0.9998770356178284
3_0,dense_first,0,4474,6351,3796,0.29205742478370667,0.2923233211040497,0.07612660527229309,0.0002658963203430176,-0.21593081951141357,0.2161967158317566,6162,0.7467280659234125,1921,0.23279205041202133,8253,0.29205742478370667,13.18775749206543,0.09783338755369186,0.9997617602348328,0.00023825826065149158,0.23634199798107147,0.7636579871177673,0.5738996267318726,-0.260292112827301,0.6911836862564087,0.06418634951114655,0.08685251325368881,0.10864346474409103,0.13496804237365723,0.27087634801864624,0.04242424666881561,1.0009104013442993
4_0,dense_first,0,3790,6351,4516,0.17120853066444397,0.1712263822555542,0.07232905179262161,1.7851591110229492e-05,-0.09887947887182236,0.09889733046293259,6849,0.8300812022785117,1704,0.20652042176705854,8252,0.17120853066444397,11.385238647460938,0.20925140380859375,0.9999566078186035,4.339565566624515e-05,0.5515624284744263,0.4484376013278961,0.8344632387161255,-0.1700475513935089,0.8137646913528442,-0.019580954685807228,0.26934853196144104,0.14689604938030243,-0.07482504099607468,-0.09147658944129944,-0.09090910106897354,1.000104308128357
5_0,dense_first,0,3791,6351,4517,0.224249929189682,0.2243165671825409,0.08505769819021225,6.663799285888672e-05,-0.13919222354888916,0.13925886154174805,6926,0.8395151515151515,939,0.11381818181818182,8251,0.224249929189682,12.048095703125,0.1439667046070099,0.9999514818191528,4.8514219088247046e-05,0.5948663949966431,0.40513360500335693,0.8376919031143188,-0.15566867589950562,0.7992798686027527,-0.06013716012239456,0.18125563859939575,0.25419852137565613,0.05747651308774948,0.1805042028427124,0.696969747543335,1.00029718875885
6_0,dense_first,0,3791,6351,4518,0.21748918294906616,0.21760761737823486,0.07213415950536728,0.00011843442916870117,-0.1453550159931183,0.145473450422287,6905,0.8370711601406231,1656,0.20075160625530367,8250,0.21748918294906616,11.519926071166992,0.17442457377910614,0.9998611211776733,0.00013884992222301662,0.46519243717193604,0.534807562828064,0.7676752805709839,-0.12052251398563385,0.7816208600997925,-0.11887585371732712,0.11559882014989853,0.03318724036216736,0.08699294924736023,0.1168307289481163,0.17575758695602417,1.000544548034668
7_0,dense_first,0,3795,6351,4519,0.1781197190284729,0.17813822627067566,0.06970752775669098,1.850724220275879e-05,-0.10841219127178192,0.10843069851398468,6243,0.7569107662463628,3170,0.38433559650824445,8249,0.1781197190284729,14.30722713470459,0.1792018860578537,0.9999784231185913,2.1630976334563456e-05,0.41609370708465576,0.5839062929153442,0.8435451984405518,-0.23059111833572388,0.8774281740188599,0.05268845707178116,-0.03896338492631912,-0.060808610171079636,0.1160305067896843,-0.20624250173568726,0.3333333730697632,1.0001039505004883
8_0,dense_first,0,1332,6351,4225,0.3497495651245117,0.3504351079463959,0.10948446393013,0.0006855428218841553,-0.2402651011943817,0.24095064401626587,7686,0.9319752637322662,3541,0.4293682551230751,8248,0.3497495651245117,12.141776084899902,0.20322847366333008,0.9995181560516357,0.000481832044897601,0.4131690263748169,0.5868309736251831,0.6724997758865356,-0.09124356508255005,0.7075877785682678,0.0407649427652359,0.14442524313926697,0.11124031245708466,-0.05225236713886261,-0.21546217799186707,-0.32121214270591736,1.001960039138794
9_0,dense_first,0,3791,6351,4521,0.29403191804885864,0.2942851185798645,0.12200711667537689,0.0002532005310058594,-0.17202480137348175,0.1722780019044876,7694,0.9330584525830706,883,0.10708222168324036,8247,0.29403191804885864,11.686236381530762,0.3033331632614136,0.9997318387031555,0.00026818018523044884,0.6213112473487854,0.3786886930465698,0.8356729745864868,0.01331460103392601,0.7861611843109131,0.030309148132801056,0.1234307512640953,0.14497148990631104,-0.045831017196178436,0.07351740449666977,0.13939395546913147,1.0008611679077148
10_0,dense_first,0,3791,6351,4233,0.297617107629776,0.2978562116622925,0.10786076635122299,0.0002391040325164795,-0.1897563338279724,0.1899954378604889,7659,0.9289266221952699,3532,0.4283808368708308,8246,0.297617107629776,11.617403984069824,0.1339799016714096,0.9997256398200989,0.0002743199293036014,0.5825273394584656,0.4174726605415344,0.8051498532295227,-0.014944283291697502,0.771834135055542,-0.03071236051619053,0.0782688558101654,0.05575236305594444,0.24289023876190186,0.2065306156873703,0.13939395546913147,1.0008033514022827
11_0,dense_first,0,3751,6351,1471,1.1991705894470215,1.1993321180343628,0.20834863185882568,0.0001615285873413086,-0.9908219575881958,0.9909834861755371,7874,0.9551188743328481,3344,0.40562833575934015,8245,1.1991705894470215,13.671209335327148,0.502683162689209,0.9999613761901855,3.8625872548436746e-05,0.48907166719436646,0.5109283328056335,0.8224144577980042,-0.19374044239521027,0.8267865180969238,-0.09239363670349121,0.07193804532289505,0.04381415620446205,0.1174018457531929,0.013877551071345806,0.4060606360435486,1.0001347064971924
12_0,dense_first,0,4401,7143,4452,0.21327869594097137,0.21333371102809906,0.07464510202407837,5.501508712768555e-05,-0.138633593916893,0.1386886090040207,6628,0.8040761858546646,5726,0.6946500060657528,8244,0.21327869594097137,12.416463851928711,0.10331033915281296,0.9998428821563721,0.00015714694745838642,0.26930609345436096,0.7306939363479614,0.6489323377609253,-0.2268848419189453,0.7487469911575317,-0.10838985443115234,-0.0511593297123909,0.0011263173073530197,0.052840083837509155,-0.043841537088155746,0.006060606800019741,1.000257968902588
13_0,dense_first,0,4474,6351,4453,0.13946622610092163,0.139446422457695,0.07825954258441925,-1.9803643226623535e-05,-0.06120668351650238,0.06118687987327576,7244,0.8789128852220335,6081,0.7378063576801747,8243,0.13946622610092163,11.831683158874512,0.10220547765493393,0.999774158000946,0.0002258569438708946,0.6084736585617065,0.39152637124061584,0.7556184530258179,-0.08391983062028885,0.7115284204483032,-0.08303950726985931,0.09347648918628693,0.027714887633919716,0.018621912226080894,-0.026362545788288116,-0.5151515603065491,0.999858021736145
14_0,dense_first,0,4485,6351,1766,0.3189149498939514,0.31652384996414185,0.07390142232179642,-0.0023910999298095703,-0.2450135350227356,0.24262243509292603,4681,0.5680135905836671,2320,0.28151923310277877,8242,0.3189149498939514,10.358282089233398,0.1528553068637848,0.9980944991111755,0.0019055487355217338,0.34505730867385864,0.6549426913261414,0.6605798006057739,0.034471988677978516,0.724663496017456,-0.11624632775783539,0.14704418182373047,0.061563435941934586,0.18873323500156403,0.15342137217521667,0.1515151709318161,0.9925023913383484
15_0,dense_first,0,1283,6351,4479,0.3495660722255707,0.3452244997024536,0.10093304514884949,-0.004341572523117065,-0.2486330270767212,0.24429145455360413,3944,0.4786407766990291,2574,0.312378640776699,8241,0.3495660722255707,10.589729309082031,0.1423957347869873,0.9979056119918823,0.002094362396746874,0.32748523354530334,0.672514796257019,0.6443670988082886,0.02772616595029831,0.7163252234458923,0.028778448700904846,0.103525809943676,0.2452230006456375,0.04735472798347473,-0.08648259192705154,0.1878788024187088,0.9875801205635071
16_0,dense_first,0,304,7143,4140,0.24841444194316864,0.2493153065443039,0.07795035094022751,0.0009008646011352539,-0.17046409845352173,0.17136496305465698,7759,0.941740502488166,3182,0.3862119189221993,8240,0.24841444194316864,9.49538803100586,0.29544782638549805,0.9995096921920776,0.0004903252120129764,0.48825883865356445,0.5117411017417908,0.7021518349647522,-0.0598432794213295,0.7068491578102112,-0.21448110044002533,-0.015150842256844044,0.08326992392539978,0.09178175032138824,-0.003889555810019374,-0.3090909421443939,1.0036264657974243
17_0,dense_first,0,4522,6351,4529,0.42263263463974,0.421994149684906,0.1079818606376648,-0.0006384849548339844,-0.3146507740020752,0.3140122890472412,4769,0.5789026462733673,2203,0.267419276523428,8239,0.42263263463974,10.4295654296875,0.25876182317733765,0.9998145699501038,0.00018550199456512928,0.4778732359409332,0.5221267342567444,0.7225554585456848,-0.13667051494121552,0.7314119338989258,0.02928350679576397,0.09156329184770584,0.05737662315368652,0.10029276460409164,0.24004802107810974,0.8181818723678589,0.998489260673523
18_0,dense_first,0,4482,6351,3804,0.1491539180278778,0.14913621544837952,0.09382760524749756,-1.7702579498291016e-05,-0.05532631278038025,0.05530861020088196,6833,0.8295495932985311,7455,0.9050625227631419,8238,0.1491539180278778,12.43104362487793,0.29185518622398376,0.9999732971191406,2.6669727958505973e-05,0.6772496700286865,0.3227503299713135,0.8367447257041931,-0.2164507657289505,0.7626286149024963,-0.25614964962005615,-0.03440886363387108,-0.12419822067022324,-0.00958848837763071,-0.13901560008525848,-0.1515151709318161,0.9998813271522522
19_0,dense_first,0,3787,6351,4515,0.14690622687339783,0.1468287706375122,0.08673185110092163,-7.745623588562012e-05,-0.060174375772476196,0.060096919536590576,6431,0.7808402136959689,4888,0.5934919864011656,8237,0.14690622687339783,11.899953842163086,0.22715334594249725,0.9998482465744019,0.00015178692410700023,0.6537128686904907,0.34628716111183167,0.656070351600647,-0.22321781516075134,0.592530369758606,-0.15548866987228394,0.027938857674598694,0.05280018970370293,0.11061045527458191,-0.011284513399004936,-0.10303030908107758,0.9994727373123169
