query_id,anchor_policy,channel,i1,i2_dense,i2_oracle,A1,A2_dense,A2_oracle,delta_dense,delta_oracle,continuation_regret,dense_second_true_rank,dense_second_true_rank_fraction,oracle_second_predicted_rank,oracle_second_predicted_rank_fraction,n_remaining_valid,first_candidate_future_mse,dense_second_candidate_future_mse,oracle_second_candidate_future_mse,alpha1_dense,alpha2_dense,alpha1_oracle,alpha2_oracle,b0_score_i1,b0_score_i2_dense,b0_score_i2_oracle,spearman_all,spearman_true_top10pct,spearman_true_top5pct,spearman_true_top1pct,spearman_true_top50,spearman_true_top10,ratio_dense
0_0,dense_first,0,3761,2905,4488,0.4538653790950775,0.4056757092475891,0.0935271829366684,-0.0481896698474884,-0.3603382110595703,0.3121485114097595,939,0.11374924288310115,2,0.00024227740763173834,8256,0.4538653790950775,1.27495276927948,0.3816913366317749,0.9754794239997864,0.024520542472600937,0.5104646682739258,0.4895353317260742,0.7988248467445374,0.43048304319381714,0.7946383357048035,0.3153109848499298,0.20607000589370728,0.19968676567077637,0.2858370840549469,0.2942136824131012,0.8424243330955505,0.8938238620758057
1_0,dense_first,0,3763,2905,4225,0.256326287984848,0.23626141250133514,0.08396832644939423,-0.02006487548351288,-0.1723579615354538,0.15229308605194092,716,0.08674582020838381,1498,0.18148776350860188,8255,0.256326287984848,1.5612964630126953,0.11619436740875244,0.9810272455215454,0.018972700461745262,0.4488546550273895,0.5511453151702881,0.8427192568778992,0.4481593668460846,0.8632491827011108,0.1703466922044754,0.2616517245769501,0.22863280773162842,0.16703125834465027,-0.05642256885766983,-0.01818181946873665,0.921721339225769
2_0,dense_first,0,3763,2905,4490,0.3299332559108734,0.3092665374279022,0.10236247628927231,-0.02066671848297119,-0.2275707721710205,0.20690405368804932,1081,0.1309826729674058,1040,0.12601478250333212,8254,0.3299332559108734,1.3956527709960938,0.17994976043701172,0.984155535697937,0.01584450714290142,0.47686704993247986,0.5231329798698425,0.8246545791625977,0.4117584526538849,0.8339143991470337,0.18008928000926971,0.25826510787010193,0.2186218947172165,0.05046744644641876,0.005906362552195787,0.2969697117805481,0.9373608827590942
3_0,dense_first,0,3761,2681,4491,0.4412962794303894,0.28193211555480957,0.10805495828390121,-0.15936416387557983,-0.3332413136959076,0.17387714982032776,122,0.01478429471643238,1751,0.21219098400387784,8253,0.4412962794303894,1.0201008319854736,0.18056003749370575,0.8130683302879333,0.18693169951438904,0.391019344329834,0.6089805960655212,0.8059742450714111,0.6589670181274414,0.8502771854400635,0.24245260655879974,0.1641491800546646,0.15952764451503754,0.18979983031749725,0.1242256909608841,-0.006060606800019741,0.6388726234436035
4_0,dense_first,0,3761,8177,4516,0.2927294969558716,0.2937588691711426,0.1141401156783104,0.001029372215270996,-0.1785893738269806,0.1796187460422516,8038,0.9741849472791176,5708,0.6917949339474003,8252,0.2927294969558716,1.3265084028244019,0.20925140380859375,0.9722931385040283,0.027706865221261978,0.4787537157535553,0.5212462544441223,0.8052610158920288,0.4494633078575134,0.8137646913528442,0.005946147255599499,0.051753513514995575,-0.015107478015124798,0.10445031523704529,-0.03548619523644447,0.16363637149333954,1.003516435623169
5_0,dense_first,0,3791,8177,4517,0.224249929189682,0.22292064130306244,0.08505769819021225,-0.0013292878866195679,-0.13919222354888916,0.1378629505634308,3794,0.4598787878787879,718,0.08703030303030303,8251,0.224249929189682,1.2002137899398804,0.1439667046070099,0.9932920932769775,0.0067078485153615475,0.5948663949966431,0.40513360500335693,0.8376919031143188,0.3379172086715698,0.7992798686027527,0.3533671498298645,0.23691360652446747,0.22251355648040771,0.08118108659982681,-0.06199279800057411,0.44242429733276367,0.9940723180770874
6_0,dense_first,0,3703,726,1470,0.9436495304107666,0.4969986379146576,0.1748543232679367,-0.446650892496109,-0.7687951922416687,0.3221443295478821,132,0.016001939629045944,139,0.016850527336646867,8250,0.9436495304107666,0.21373489499092102,0.42086195945739746,0.5820157527923584,0.4179842472076416,0.5738468170166016,0.42615318298339844,0.7567263841629028,0.7236210107803345,0.7269700169563293,0.27942955493927,0.12283271551132202,0.022589663043618202,0.17068815231323242,0.17493396997451782,0.2727273106575012,0.526677131652832
7_0,dense_first,0,4519,4232,3795,0.1792018860578537,0.12294691801071167,0.06970752775669098,-0.05625496804714203,-0.10949435830116272,0.05323939025402069,69,0.008365664403491756,19,0.002303588748787585,8249,0.1792018860578537,0.13645678758621216,0.1781197190284729,0.5329445600509644,0.46705543994903564,0.5839062929153442,0.41609370708465576,0.8774281740188599,0.8642311692237854,0.8435451984405518,0.5851673483848572,0.4547678232192993,0.3837040960788727,0.3035774230957031,0.17675870656967163,0.6727273464202881,0.6860805153846741
8_0,dense_first,0,2888,4448,334,0.27855542302131653,0.19871579110622406,0.12529611587524414,-0.07983963191509247,-0.1532593071460724,0.07341967523097992,180,0.021826118588577664,545,0.06608463683763793,8248,0.27855542302131653,0.09984292089939117,0.2928393483161926,0.8048359751701355,0.1951640248298645,0.5669039487838745,0.4330960214138031,0.7960476279258728,0.6543678045272827,0.7691246271133423,0.7227518558502197,0.16349011659622192,0.08067479729652405,0.03229176625609398,0.1434333771467209,0.3696970045566559,0.7133797407150269
9_0,dense_first,0,2889,2769,3815,0.29989880323410034,0.2577782869338989,0.13937479257583618,-0.042120516300201416,-0.16052401065826416,0.11840349435806274,828,0.10041232112539412,1880,0.22798932815910744,8247,0.29989880323410034,0.18567109107971191,0.3254069983959198,0.8450132608413696,0.15498670935630798,0.5464312434196472,0.4535687267780304,0.8105472922325134,0.6409459710121155,0.791921079158783,0.5200113654136658,0.035093702375888824,0.01660134084522724,0.09835547208786011,0.07668667286634445,-0.24848486483097076,0.8595508933067322
10_0,dense_first,0,1470,2698,3727,0.45236682891845703,0.24154041707515717,0.14843538403511047,-0.21082641184329987,-0.30393144488334656,0.09310503304004669,36,0.004366282595512432,109,0.013220133414190418,8246,0.45236682891845703,0.1537965089082718,1.5528773069381714,0.6995503902435303,0.3004496693611145,0.735404908657074,0.264595091342926,0.834792971611023,0.7502772212028503,0.7325709462165833,0.4986799955368042,0.44154587388038635,0.3519214987754822,0.20286020636558533,0.027515005320310593,0.13939395546913147,0.5339481234550476
11_0,dense_first,0,3797,4400,4235,0.2378206104040146,0.18792015314102173,0.12980422377586365,-0.04990045726299286,-0.10801638662815094,0.05811592936515808,96,0.011644832605531296,209,0.02535177098495876,8245,0.2378206104040146,0.23637175559997559,0.18591687083244324,0.7859068512916565,0.2140931785106659,0.6257802248001099,0.3742198050022125,0.8339179754257202,0.7038753032684326,0.7825024127960205,0.6681272983551025,0.3194883465766907,0.4099966585636139,0.04110751673579216,0.01675870269536972,-0.23636366426944733,0.7901760339736938
12_0,dense_first,0,4476,4452,1518,0.18307101726531982,0.12044845521450043,0.084663525223732,-0.0626225620508194,-0.09840749204158783,0.03578492999076843,85,0.01031177969185976,788,0.09559626349629989,8244,0.18307101726531982,0.10331033915281296,0.28040415048599243,0.6964345574378967,0.30356544256210327,0.6651678085327148,0.33483216166496277,0.8317846059799194,0.7487469911575317,0.7631436586380005,0.4644607901573181,0.22275741398334503,0.18509525060653687,0.2643527686595917,0.2624249756336212,-0.43030306696891785,0.6579329371452332
13_0,dense_first,0,2889,4089,4522,0.3543536067008972,0.3006949722766876,0.17565792798995972,-0.053658634424209595,-0.1786956787109375,0.1250370442867279,630,0.07643775782577045,173,0.020990050958505216,8243,0.3543536067008972,0.2716449499130249,0.20968012511730194,0.7842757105827332,0.21572436392307281,0.5780768990516663,0.42192313075065613,0.7791357040405273,0.6500598192214966,0.7476473450660706,0.7215331196784973,0.2032887190580368,0.20714320242404938,-0.0738455131649971,-0.15774309635162354,-0.2242424488067627,0.8485732078552246
14_0,dense_first,0,3754,1306,652,1.249419093132019,0.906768262386322,0.28225085139274597,-0.342650830745697,-0.9671682119369507,0.6245174407958984,457,0.05545443514136634,1151,0.13966751607814584,8242,1.249419093132019,0.2620140314102173,2.7055890560150146,0.8048518896102905,0.19514815509319305,0.6996944546699524,0.3003055453300476,0.8097020387649536,0.6680120825767517,0.7251176834106445,0.3442744314670563,0.07275069504976273,0.060995813459157944,0.08311837166547775,-0.0035054022446274757,0.35757580399513245,0.7257518768310547
15_0,dense_first,0,797,1205,4475,0.5080628395080566,0.3788745105266571,0.1953180432319641,-0.12918832898139954,-0.31274479627609253,0.183556467294693,357,0.0433252427184466,137,0.01662621359223301,8241,0.5080628395080566,0.4273381233215332,0.1510109007358551,0.6098043918609619,0.3901955783367157,0.5236436128616333,0.4763563871383667,0.7987937331199646,0.7541447281837463,0.7893292307853699,0.8039346933364868,0.35814768075942993,0.2557157278060913,0.0025358886923640966,0.11289315670728683,0.24848486483097076,0.7457237243652344
16_0,dense_first,0,299,371,4481,0.23071786761283875,0.22980165481567383,0.12350110709667206,-0.000916212797164917,-0.10721676051616669,0.10630054771900177,4537,0.5506736254399806,61,0.0074038111421288995,8240,0.23071786761283875,0.29264822602272034,0.16873297095298767,0.7582730650901794,0.24172696471214294,0.6798399686813354,0.32016003131866455,0.8351017236709595,0.720778226852417,0.7597980499267578,0.5976579189300537,0.26736512780189514,0.12242626398801804,0.04330601170659065,0.009459784254431725,0.539393961429596,0.9960288405418396
17_0,dense_first,0,3780,6468,2921,0.2215571403503418,0.2216651737689972,0.09674368798732758,0.00010803341865539551,-0.12481345236301422,0.12492148578166962,6511,0.7903617382859918,4208,0.5108035931051226,8239,0.2215571403503418,3.8149986267089844,0.19342026114463806,0.9952899217605591,0.004710135981440544,0.5760748386383057,0.42392513155937195,0.7609657049179077,0.22563402354717255,0.7302976846694946,-0.26141998171806335,0.12410193681716919,0.1229437068104744,0.13451093435287476,-0.08581032603979111,-0.35757580399513245,1.0004875659942627
18_0,dense_first,0,4482,4506,3804,0.1491539180278778,0.12214787304401398,0.09382760524749756,-0.02700604498386383,-0.05532631278038025,0.02832026779651642,72,0.008741046497511229,12,0.0014568410829185383,8238,0.1491539180278778,0.17163358628749847,0.29185518622398376,0.5958588123321533,0.40414121747016907,0.6772496700286865,0.3227503299713135,0.8367447257041931,0.7979207634925842,0.7626286149024963,0.6401503682136536,0.3886861503124237,0.29265010356903076,0.16409267485141754,0.19740696251392365,0.12727274000644684,0.8189384341239929
19_0,dense_first,0,800,776,4483,0.5515903830528259,0.421590656042099,0.17577485740184784,-0.12999972701072693,-0.3758155107498169,0.24581579864025116,155,0.01881981544439048,336,0.04079650315687227,8237,0.5515903830528259,0.38220691680908203,0.14617373049259186,0.6507400274276733,0.34926000237464905,0.47739046812057495,0.522609531879425,0.7752549052238464,0.7130255699157715,0.7843049168586731,0.7254056334495544,0.2863248586654663,0.32878848910331726,-0.06960088759660721,-0.03529411926865578,-0.6121212840080261,0.7643183469772339
20_0,dense_first,0,346,418,4484,0.37051957845687866,0.3170173764228821,0.14113491773605347,-0.05350220203399658,-0.2293846607208252,0.1758824586868286,284,0.0344869459623558,740,0.08986035215543413,8236,0.37051957845687866,0.3718258738517761,0.15612497925758362,0.5850242972373962,0.41497570276260376,0.5889662504196167,0.4110337495803833,0.8039951324462891,0.7696517705917358,0.7680257558822632,0.505530834197998,0.18151935935020447,0.1597720980644226,-0.1430654674768448,0.16312125325202942,0.5515152215957642,0.8556022047996521
21_0,dense_first,0,802,778,4482,0.696934700012207,0.653026819229126,0.22429287433624268,-0.043907880783081055,-0.47264182567596436,0.4287339448928833,1770,0.21496235122662133,223,0.027082827301433084,8235,0.696934700012207,0.6380596160888672,0.19420433044433594,0.7709693908691406,0.2290305644273758,0.5571844577789307,0.44281554222106934,0.7925664782524109,0.671187162399292,0.7695921659469604,0.5999845266342163,0.22276143729686737,0.17010395228862762,-0.054385557770729065,-0.1404561847448349,0.20000001788139343,0.9369985461235046
22_0,dense_first,0,1404,6036,2902,0.3446819484233856,0.3523188531398773,0.16035142540931702,0.007636904716491699,-0.1843305230140686,0.1919674277305603,8143,0.9890683833353577,2337,0.28385764605854485,8234,0.3446819484233856,1.8847129344940186,0.28653985261917114,0.9824115633964539,0.017588449642062187,0.5769116282463074,0.42308834195137024,0.7986435294151306,0.3963667154312134,0.7676327228546143,0.28020378947257996,0.08034896105527878,0.10512574762105942,-0.039039622992277145,-0.2643457353115082,-0.5151515603065491,1.0221563577651978
23_0,dense_first,0,3781,6181,4487,0.3368285894393921,0.33560454845428467,0.11381527781486511,-0.0012240409851074219,-0.22301331162452698,0.22178927063941956,5124,0.6224489795918368,3060,0.3717201166180758,8233,0.3368285894393921,0.7875422239303589,0.1809350848197937,0.9923457503318787,0.007654253859072924,0.44440287351608276,0.5555971264839172,0.7719190120697021,0.28543803095817566,0.7942501902580261,0.312002032995224,-0.08297555148601532,-0.10237957537174225,-0.05207822844386101,-0.04941176623106003,-0.24848486483097076,0.9963659644126892
24_0,dense_first,0,4512,3912,1416,0.17128786444664001,0.15262660384178162,0.11090914905071259,-0.0186612606048584,-0.06037871539592743,0.04171745479106903,391,0.04750334102782165,74,0.008990402138257806,8232,0.17128786444664001,0.22550401091575623,0.12172441929578781,0.7320417165756226,0.26795825362205505,0.6297470331192017,0.37025293707847595,0.7946851849555969,0.6941845417022705,0.7415720224380493,0.4511442482471466,0.2705603837966919,0.17434938251972198,0.13096286356449127,0.13210083544254303,-0.23636366426944733,0.8910531997680664
25_0,dense_first,0,4160,3320,1825,0.28874799609184265,0.25139373540878296,0.10677462816238403,-0.03735426068305969,-0.18197336792945862,0.14461910724639893,1199,0.1456865127582017,572,0.06950182260024301,8231,0.28874799609184265,0.25816619396209717,0.3341696262359619,0.809006929397583,0.19099311530590057,0.6426844596862793,0.3573155105113983,0.7129884362220764,0.5686314105987549,0.6542849540710449,0.3141850233078003,0.09155666083097458,0.10710776597261429,0.06339721381664276,0.4944537878036499,0.539393961429596,0.8706337213516235
26_0,dense_first,0,4161,3561,4487,0.18462739884853363,0.18089686334133148,0.10142215341329575,-0.0037305355072021484,-0.08320524543523788,0.07947470992803574,2588,0.314497508810305,5477,0.6655729736298457,8230,0.18462739884853363,0.3319479525089264,0.17598626017570496,0.9509999752044678,0.049000080674886703,0.606656551361084,0.3933434784412384,0.7626146078109741,0.46604543924331665,0.7192866802215576,0.0877457857131958,0.09045465290546417,0.08760058134794235,0.06920907646417618,-0.2095078080892563,-0.3333333730697632,0.9797942638397217
27_0,dense_first,0,2153,805,4515,0.4033537805080414,0.39142319560050964,0.1753779649734497,-0.011930584907531738,-0.22797581553459167,0.21604523062705994,2222,0.2700534759358289,1950,0.23699562469615945,8229,0.4033537805080414,0.4976518154144287,0.1735353171825409,0.6298903226852417,0.3701096773147583,0.581382691860199,0.418617308139801,0.7963684797286987,0.7431938648223877,0.763523280620575,0.3848316967487335,0.12960341572761536,0.1206706166267395,0.0872759222984314,-0.04998799413442612,0.09090910106897354,0.970421552658081
28_0,dense_first,0,3779,6468,1540,0.1881568878889084,0.19128486514091492,0.09900479018688202,0.0031279772520065308,-0.08915209770202637,0.0922800749540329,7942,0.9653579676674365,5790,0.7037802358089218,8228,0.1881568878889084,4.76544189453125,0.1344423145055771,0.9928598999977112,0.007140057161450386,0.6404544711112976,0.3595455288887024,0.7667564153671265,0.27326953411102295,0.7090227007865906,-0.3440748155117035,-0.06883181631565094,-0.04245278611779213,-0.026479901745915413,-0.017334934324026108,0.03030303306877613,1.0166243314743042
29_0,dense_first,0,3779,6468,288,0.17811885476112366,0.1802232265472412,0.10121460258960724,0.0021043717861175537,-0.07690425217151642,0.07900862395763397,7855,0.9548991004133236,6676,0.8115730610260151,8227,0.17811885476112366,4.8646979331970215,0.17570960521697998,0.9960595369338989,0.0039404830895364285,0.6461426019668579,0.3538574278354645,0.7873548865318298,0.23410454392433167,0.7271422743797302,-0.4148475229740143,-0.10798590630292892,0.05385921522974968,-0.07073278725147247,0.023769507184624672,0.44242429733276367,1.0118144750595093
30_0,dense_first,0,3792,3336,4518,0.2734474539756775,0.2707706391811371,0.1298673152923584,-0.0026768147945404053,-0.1435801386833191,0.1409033238887787,3145,0.382370820668693,380,0.046200607902735565,8226,0.2734474539756775,0.3039155602455139,0.1765211522579193,0.885129988193512,0.11486998945474625,0.6154084801673889,0.38459157943725586,0.8416855931282043,0.6374922394752502,0.7946751713752747,0.41669678688049316,0.16112439334392548,0.2115701287984848,0.13853788375854492,0.05872749164700508,0.12727274000644684,0.9902108907699585
