query_id,anchor_policy,channel,i1,i2_dense,i2_oracle,A1,A2_dense,A2_oracle,delta_dense,delta_oracle,continuation_regret,dense_second_true_rank,dense_second_true_rank_fraction,oracle_second_predicted_rank,oracle_second_predicted_rank_fraction,n_remaining_valid,first_candidate_future_mse,dense_second_candidate_future_mse,oracle_second_candidate_future_mse,alpha1_dense,alpha2_dense,alpha1_oracle,alpha2_oracle,b0_score_i1,b0_score_i2_dense,b0_score_i2_oracle,spearman_all,spearman_true_top10pct,spearman_true_top5pct,spearman_true_top1pct,spearman_true_top50,spearman_true_top10,ratio_dense
10800_0,oracle_first,0,6936,6303,6169,0.689577579498291,0.6895939707756042,0.4198695421218872,1.6391277313232422e-05,-0.2697080373764038,0.26972442865371704,5066,0.7037088484511738,6888,0.9567995554938186,7200,0.689577579498291,8.091045379638672,1.5101048946380615,0.9999861717224121,1.382286336593097e-05,0.6453327536582947,0.35466721653938293,0.9165419340133667,-0.20237529277801514,0.8566833734512329,-0.18469834327697754,-0.6474957466125488,-0.2691751718521118,0.17940060794353485,0.049603842198848724,0.07878788560628891,1.0000237226486206
10801_0,oracle_first,0,6793,5168,6841,0.770134687423706,0.7700515985488892,0.5320827960968018,-8.308887481689453e-05,-0.2380518913269043,0.2379688024520874,3198,0.4442283650507015,7180,0.9973607445478538,7200,0.770134687423706,3.552886724472046,0.8006540536880493,0.9998410940170288,0.00015886266191955656,0.4833385646343231,0.5166614055633545,0.9336035251617432,0.05887230485677719,0.9402704834938049,-0.45473065972328186,-0.7788246870040894,-0.39349403977394104,-0.1014213114976883,-0.16340936720371246,-0.6484848856925964,0.9998921155929565
10802_0,oracle_first,0,6938,4089,6169,0.6285003423690796,0.6284886598587036,0.4320276975631714,-1.1682510375976562e-05,-0.1964726448059082,0.19646096229553223,2894,0.4020002778163634,6846,0.9509654118627587,7200,0.6285003423690796,4.034205436706543,1.7145706415176392,0.9999769926071167,2.2973183149588294e-05,0.7508479952812195,0.2491520494222641,0.9149501323699951,-0.15316584706306458,0.8046361804008484,-0.16128748655319214,-0.6609829664230347,-0.2855757772922516,0.17097562551498413,0.3230251967906952,0.3333333730697632,0.9999814033508301
10803_0,oracle_first,0,6939,245,6172,0.6726903319358826,0.6726667881011963,0.43240275979042053,-2.3543834686279297e-05,-0.24028757214546204,0.24026402831077576,2575,0.35768856785664677,6792,0.943464370051396,7200,0.6726903319358826,1.9107035398483276,1.3511102199554443,0.9999089241027832,9.101825708057731e-05,0.5819175839424133,0.41808241605758667,0.9254055023193359,-0.0050304364413022995,0.8923404812812805,-0.1557159721851349,-0.6403459906578064,-0.25215163826942444,0.2503376305103302,0.27692675590515137,0.3696970045566559,0.9999650120735168
10804_0,oracle_first,0,6940,245,6173,0.5762040019035339,0.5761906504631042,0.42648616433143616,-1.33514404296875e-05,-0.14971783757209778,0.1497044861316681,2395,0.3326850951521045,6733,0.9352687873315738,7200,0.5762040019035339,1.8974030017852783,1.503045678138733,0.9999167919158936,8.319077460328117e-05,0.7233432531356812,0.27665674686431885,0.9286597371101379,-0.010769329965114594,0.8325490951538086,-0.09061529487371445,-0.6052490472793579,-0.22696393728256226,-0.039037879556417465,0.05978391319513321,0.32121214270591736,0.9999768137931824
10805_0,oracle_first,0,6941,6014,5502,0.5845399498939514,0.5845683217048645,0.42984819412231445,2.8371810913085938e-05,-0.15469175577163696,0.15472012758255005,6525,0.9063758855396583,6864,0.953465759133213,7200,0.5845399498939514,5.615933895111084,1.0679277181625366,0.9999130964279175,8.689374953974038e-05,0.6537501811981201,0.3462498188018799,0.9399349689483643,0.004861140623688698,0.8763784766197205,-0.2973994016647339,-0.7558054327964783,-0.3339192569255829,0.07293073832988739,0.10559424012899399,0.2969697117805481,1.0000485181808472
10806_0,oracle_first,0,6942,6014,6870,0.5502762198448181,0.5502869486808777,0.41127604246139526,1.0728836059570312e-05,-0.13900017738342285,0.13901090621948242,6518,0.905403528267815,7137,0.9913876927351021,7200,0.5502762198448181,5.373672962188721,0.679207444190979,0.9998915195465088,0.00010852642299141735,0.5313131809234619,0.4686868488788605,0.9563678503036499,0.04352704435586929,0.9438261985778809,-0.2836189568042755,-0.8184033036231995,-0.547731339931488,-0.09637275338172913,-0.034429773688316345,-0.11515152454376221,1.0000195503234863
10807_0,oracle_first,0,6943,146,4999,0.6820187568664551,0.6820218563079834,0.44115835428237915,3.0994415283203125e-06,-0.24086040258407593,0.24086350202560425,3425,0.4757605222947632,7160,0.9945825809140159,7200,0.6820187568664551,2.3950798511505127,1.0304291248321533,0.9999821186065674,1.7932741684489883e-05,0.6252825856208801,0.3747174143791199,0.8962785601615906,-0.19660790264606476,0.8450753688812256,-0.11013805121183395,-0.7178092002868652,-0.3116268813610077,-0.0025725127197802067,0.09723889827728271,-0.01818181946873665,1.000004529953003
10808_0,oracle_first,0,6968,5548,6176,0.670688807964325,0.6706820130348206,0.5093254446983337,-6.794929504394531e-06,-0.1613633632659912,0.16135656833648682,3974,0.5520211140436172,7046,0.978747048201139,7200,0.670688807964325,3.706437826156616,0.8644282221794128,0.9999734163284302,2.6558307581581175e-05,0.6071360111236572,0.3928639888763428,0.9322702884674072,-0.12134388089179993,0.8887413144111633,-0.28865787386894226,-0.49996456503868103,-0.45277097821235657,-0.22773168981075287,-0.2225690335035324,0.43030306696891785,0.9999898672103882
10809_0,oracle_first,0,6945,4598,6177,0.6063532829284668,0.6063466668128967,0.4217641353607178,-6.616115570068359e-06,-0.18458914756774902,0.18458253145217896,5419,0.752743436588415,7081,0.9836088345603556,7200,0.6063532829284668,3.638674736022949,1.6947622299194336,0.999988317489624,1.1668095794448163e-05,0.6625165343284607,0.3374834358692169,0.9520502686500549,-0.18381372094154358,0.8845974206924438,-0.45070815086364746,-0.33322885632514954,-0.4519227147102356,-0.26529037952423096,-0.03884753957390785,-0.10303030908107758,0.9999890923500061
