cell,arm,oracle,prefix,score,best_epoch,best_val_fr_agg_mse,test_fr_agg_mse,final_val_fr_agg_mse,final_effective_rank,final_mean_pairwise_cosine,final_encoder_param_displacement,cosine_init_deviation,encoder_init_sha256,independent_base_only_mse,independent_base_only_mae,retrieval_augmented_frozen_host_mse,retrieval_augmented_frozen_host_mae,delta_mse_vs_independent_base,delta_mae_vs_independent_base,relative_improvement_vs_independent_base_pct,frozen_host_retrieval_ablated_branch_mse,diag_delta_mse_vs_host_ablated_branch,frozen_host_original_retrieval_mse,diag_delta_mse_vs_host_original_retrieval,duplicate_rate,invalid_rate,y_base_identical_to_reference,matched_val_epoch1,matched_test_epoch1,matched_val_epoch5,matched_test_epoch5,matched_val_epoch10,matched_test_epoch10,test_oracle_action_acc,test_expert_rank_median,test_expert_regret_mean,test_ndcg_at_10,test_spearman,test_selected_individual_future_mse
ETTh1_96,individual_tf_cosine,individual,tf,cosine,1,0.7496106728051497,0.4386258588582621,0.786537572038299,52.936790466308594,0.0886201485991478,0.4725199263694684,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.3829426023749558,0.40535521592463636,-0.0035086060646529194,0.010697231747670566,0.907904022041948,0.6467320424344302,-0.26378944005947436,0.3731216918222617,0.009820910552694129,0.0,0.0,,0.7496106728051497,0.4386258588582621,0.790948188001451,0.4442983808212324,,,0.00783786525974026,613.3431818181818,0.5174893713866167,0.9706624525611277,0.3905032311501845,0.7100537485335712
ETTh1_96,individual_tf_asymmetric,individual,tf,asymmetric,1,0.7780877049350224,0.4578055296548496,0.7897598547136273,60.34917449951172,0.11820975691080093,0.4533634323789684,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.387452075358506,0.40812485751875793,0.0010008669188972807,0.01346687334179214,-0.2589892066681654,0.6467320424344302,-0.25927996707592416,0.3731216918222617,0.014330383536244329,0.0,0.0,True,0.7780877049350224,0.4578055296548496,0.8119080563429595,0.4708395838295116,,,0.00734577922077922,634.4042207792207,0.5520035242800927,0.9684852124228105,0.3486678609496029,0.7441597418274499
ETTh1_96,individual_onpolicy_cosine,individual,onpolicy,cosine,2,0.7326377608399876,0.41772384419624037,0.7333879601595401,52.040836334228516,0.2828698456287384,0.4198156421195928,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.37644192430721735,0.40058428704906773,-0.010009284132391383,0.005926302872101941,2.5900511924406486,0.6467320424344302,-0.2702901181272128,0.3731216918222617,0.0033202324849556653,0.0,0.0,True,0.735104885383978,0.42024759019881003,0.7438615444364471,0.42003688157898444,,,0.008375608766233767,548.9595779220779,0.5195310576971585,0.9698744451167522,0.36707543610119964,0.7120432492688771
ETTh1_96,individual_onpolicy_asymmetric,individual,onpolicy,asymmetric,9,0.7371522057554024,0.42862891428670374,0.7439042640975589,58.02193069458008,0.23193328082561493,0.4983597301378637,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.37980828998210525,0.40278633753947846,-0.006642918457503477,0.008128353362512664,1.7189539875747537,0.6467320424344302,-0.2669237524523249,0.3731216918222617,0.006686598159843571,0.0,0.0,True,0.7561559868993194,0.42419341574479147,0.743240811868023,0.42540070313623995,0.7439042640975589,0.42578666493529277,0.00854301948051948,485.73051948051955,0.5122903579702396,0.9710308941056975,0.3506428104225626,0.7046115027861548
ETTh1_96,set_tf_cosine,greedy_set,tf,cosine,3,0.7930404159769504,0.4939984001674066,0.8335281192209207,45.05120849609375,0.3621625304222107,0.4627973991611585,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.39197564392892115,0.41266249108540765,0.005524435489312418,0.018004506908441853,-1.4295298782008412,0.6467320424344302,-0.254756398505509,0.3731216918222617,0.018853952106659466,0.0,0.0,True,0.8271157262274992,0.5069872960688082,0.8085794764532435,0.4928877602124725,,,0.010191761363636363,851.6535714285714,0.20830203546392548,0.6568638719908604,0.23223538754623146,1.1553550828726018
ETTh1_96,set_tf_asymmetric,greedy_set,tf,asymmetric,4,0.8451279327888677,0.5186878043683363,0.8909825703896874,49.5942268371582,0.1639547348022461,0.47459107544196927,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.3979109976977948,0.41847738005253377,0.011459789258186082,0.023819395875567972,-2.965390975087847,0.6467320424344302,-0.24882104473663536,0.3731216918222617,0.02478930587553313,0.0,0.0,True,0.8727688119098235,0.5365415695463275,0.8608191220039633,0.5131946519697498,,,0.010369318181818181,894.259090909091,0.23483453014859465,0.6492493620214911,0.23692216426882298,1.2010139973386638
ETTh1_96,set_onpolicy_cosine,greedy_set,onpolicy,cosine,1,0.7116541235622427,0.4160590389184033,0.7217874500439025,60.96308898925781,0.057837892323732376,0.40455165896428164,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.37622031404022843,0.4003955418649592,-0.010230894399380297,0.005737557687993389,2.647396146253504,0.6467320424344302,-0.27051172839420173,0.3731216918222617,0.003098622217966751,0.0,0.0,True,0.7116541235622427,0.4160590389184033,0.7262220441039616,0.4224261144194757,,,0.02900771103896104,114.35633116883116,0.1451651745422156,0.6872895464010828,0.18332988661748703,0.7395889704248735
ETTh1_96,set_onpolicy_asymmetric,greedy_set,onpolicy,asymmetric,2,0.7140509399288998,0.42109084645996575,0.7251593474907335,62.39679718017578,0.2310820072889328,0.42668222755572993,0.0,56588522de17ff762c2db6b4c7e6b1dc0fbe635f0c755f5d5e9e2804d4c978cd,0.38645120843960873,0.3946579841769658,0.3783506757552434,0.4019415010007271,-0.008100532684365336,0.007283516823761327,2.0961333558958755,0.6467320424344302,-0.2683813666791868,0.3731216918222617,0.005228983932981712,0.0,0.0,True,0.7201563188288801,0.418006273811417,0.7241707123759642,0.42305196949280083,,,0.031128246753246748,103.56477272727273,0.14843571151949936,0.6817391021636786,0.16918586899686305,0.7567642912425875
ETTh1_720,individual_tf_cosine,individual,tf,cosine,4,1.8058243319229668,0.7111191998913795,1.8325279935255647,31.875858306884766,0.16282953321933746,0.5621794827863306,0.0,b28b1ab2b83cf50efb270cc5b99a9088eae05911426ea26ac07cb0e9106b9697,0.4914503248939075,0.4922098118166652,0.4845716291159617,0.49639293815544594,-0.006878695777945809,0.004183126338780763,1.3996726483863362,0.4557978017742603,0.028773827341701363,0.46827278391906857,0.01629884519689312,0.0,0.0,,1.8250462496801576,0.6439621065994275,1.8173042422065324,0.7160628189797552,,,0.005573792016806722,799.9382352941176,0.5531318707501187,0.9571835409568138,0.17907165823968005,0.99638002993492
ETTh1_720,individual_tf_asymmetric,individual,tf,asymmetric,8,1.7118763709608904,0.6270372339901672,1.7139484182403053,39.62509536743164,0.28573012351989746,0.5790149014971508,0.0,b28b1ab2b83cf50efb270cc5b99a9088eae05911426ea26ac07cb0e9106b9697,0.4914503248939075,0.4922098118166652,0.47278431824958406,0.4869060483938533,-0.01866600664432344,-0.005303763422811858,3.7981471776121,0.4557978017742603,0.016986516475323732,0.46827278391906857,0.004511534330515488,0.0,0.0,True,1.8145606908510103,0.7187042254768644,1.7958962200669404,0.6128938967075022,1.7139484182403053,0.613503764040875,0.015158103682695568,610.4632352941177,0.3844786797086669,0.9705549246874176,0.22629290187423381,0.8287103555736547
