cell,arm,oracle,prefix,score,independent_base_only_mse,retrieval_augmented_frozen_host_mse,delta_mse_vs_independent_base,relative_improvement_vs_independent_base_pct,independent_base_only_mae,retrieval_augmented_frozen_host_mae,delta_mae_vs_independent_base,frozen_host_retrieval_ablated_branch_mse,diag_delta_mse_vs_host_ablated_branch,frozen_host_original_retrieval_mse,diag_delta_mse_vs_host_original_retrieval,test_fr_agg_mse,y_base_identical_to_reference
ETTh1_96,individual_tf_cosine,individual,tf,cosine,0.38645120843960873,0.3829426023749558,-0.0035086060646529194,0.907904022041948,0.3946579841769658,0.40535521592463636,0.010697231747670566,0.6467320424344302,-0.26378944005947436,0.3731216918222617,0.009820910552694129,0.4386258588582621,
ETTh1_96,individual_tf_asymmetric,individual,tf,asymmetric,0.38645120843960873,0.387452075358506,0.0010008669188972807,-0.2589892066681654,0.3946579841769658,0.40812485751875793,0.01346687334179214,0.6467320424344302,-0.25927996707592416,0.3731216918222617,0.014330383536244329,0.4578055296548496,True
ETTh1_96,individual_onpolicy_cosine,individual,onpolicy,cosine,0.38645120843960873,0.37644192430721735,-0.010009284132391383,2.5900511924406486,0.3946579841769658,0.40058428704906773,0.005926302872101941,0.6467320424344302,-0.2702901181272128,0.3731216918222617,0.0033202324849556653,0.41772384419624037,True
ETTh1_96,individual_onpolicy_asymmetric,individual,onpolicy,asymmetric,0.38645120843960873,0.37980828998210525,-0.006642918457503477,1.7189539875747537,0.3946579841769658,0.40278633753947846,0.008128353362512664,0.6467320424344302,-0.2669237524523249,0.3731216918222617,0.006686598159843571,0.42862891428670374,True
ETTh1_96,set_tf_cosine,greedy_set,tf,cosine,0.38645120843960873,0.39197564392892115,0.005524435489312418,-1.4295298782008412,0.3946579841769658,0.41266249108540765,0.018004506908441853,0.6467320424344302,-0.254756398505509,0.3731216918222617,0.018853952106659466,0.4939984001674066,True
ETTh1_96,set_tf_asymmetric,greedy_set,tf,asymmetric,0.38645120843960873,0.3979109976977948,0.011459789258186082,-2.965390975087847,0.3946579841769658,0.41847738005253377,0.023819395875567972,0.6467320424344302,-0.24882104473663536,0.3731216918222617,0.02478930587553313,0.5186878043683363,True
ETTh1_96,set_onpolicy_cosine,greedy_set,onpolicy,cosine,0.38645120843960873,0.37622031404022843,-0.010230894399380297,2.647396146253504,0.3946579841769658,0.4003955418649592,0.005737557687993389,0.6467320424344302,-0.27051172839420173,0.3731216918222617,0.003098622217966751,0.4160590389184033,True
ETTh1_96,set_onpolicy_asymmetric,greedy_set,onpolicy,asymmetric,0.38645120843960873,0.3783506757552434,-0.008100532684365336,2.0961333558958755,0.3946579841769658,0.4019415010007271,0.007283516823761327,0.6467320424344302,-0.2683813666791868,0.3731216918222617,0.005228983932981712,0.42109084645996575,True
ETTh1_720,individual_tf_cosine,individual,tf,cosine,0.4914503248939075,0.4845716291159617,-0.006878695777945809,1.3996726483863362,0.4922098118166652,0.49639293815544594,0.004183126338780763,0.4557978017742603,0.028773827341701363,0.46827278391906857,0.01629884519689312,0.7111191998913795,
ETTh1_720,individual_tf_asymmetric,individual,tf,asymmetric,0.4914503248939075,0.47278431824958406,-0.01866600664432344,3.7981471776121,0.4922098118166652,0.4869060483938533,-0.005303763422811858,0.4557978017742603,0.016986516475323732,0.46827278391906857,0.004511534330515488,0.6270372339901672,True
ETTh1_720,individual_onpolicy_cosine,individual,onpolicy,cosine,0.4914503248939075,0.46650096278304337,-0.024949362110864126,5.076680357521404,0.4922098118166652,0.4806885595907199,-0.0115212522259453,0.4557978017742603,0.010703161008783046,0.46827278391906857,-0.0017718211360251979,0.5821649892840672,True
ETTh1_720,individual_onpolicy_asymmetric,individual,onpolicy,asymmetric,0.4914503248939075,0.4694247604799044,-0.022025564414003107,4.481747859004448,0.4922098118166652,0.4836078637214179,-0.00860194809524728,0.4557978017742603,0.013626958705644066,0.46827278391906857,0.0011519765608358212,0.598619976826714,True
ETTh1_720,set_tf_cosine,greedy_set,tf,cosine,0.4914503248939075,0.4846780433188816,-0.006772281575025907,1.3780195539575404,0.4922098118166652,0.4950395512726049,0.002829739455939728,0.4557978017742603,0.028880241544621266,0.46827278391906857,0.01640525939981302,0.728181649839964,True
ETTh1_720,set_tf_asymmetric,greedy_set,tf,asymmetric,0.4914503248939075,0.47305396880199035,-0.018396356091917143,3.743278854457667,0.4922098118166652,0.4864558729722608,-0.005753938844404394,0.4557978017742603,0.01725616702773003,0.46827278391906857,0.004781184882921785,0.6709288663744981,True
ETTh1_720,set_onpolicy_cosine,greedy_set,onpolicy,cosine,0.4914503248939075,0.46984270732336586,-0.021607617570541637,4.396704300725859,0.4922098118166652,0.4834164002877489,-0.008793411528916273,0.4557978017742603,0.014044905549105535,0.46827278391906857,0.001569923404297291,0.5730103525803663,True
ETTh1_720,set_onpolicy_asymmetric,greedy_set,onpolicy,asymmetric,0.4914503248939075,0.47904212039167915,-0.012408204502228348,2.524813571932623,0.4922098118166652,0.4905378357912269,-0.001671976025438282,0.4557978017742603,0.023244318617418824,0.46827278391906857,0.01076933647261058,0.6135914276066559,True
