cell,arm,best_epoch,best_val_fr_agg_mse,test_fr_agg_mse,final_val_fr_agg_mse,matched_val_epoch1,matched_val_epoch5,matched_val_epoch10,matched_test_epoch1,matched_test_epoch5,matched_test_epoch10
ETTh1_96,individual_tf_cosine,1,0.7496106728051497,0.4386258588582621,0.786537572038299,0.7496106728051497,0.790948188001451,,0.4386258588582621,0.4442983808212324,
ETTh1_96,individual_tf_asymmetric,1,0.7780877049350224,0.4578055296548496,0.7897598547136273,0.7780877049350224,0.8119080563429595,,0.4578055296548496,0.4708395838295116,
ETTh1_96,individual_onpolicy_cosine,2,0.7326377608399876,0.41772384419624037,0.7333879601595401,0.735104885383978,0.7438615444364471,,0.42024759019881003,0.42003688157898444,
ETTh1_96,individual_onpolicy_asymmetric,9,0.7371522057554024,0.42862891428670374,0.7439042640975589,0.7561559868993194,0.743240811868023,0.7439042640975589,0.42419341574479147,0.42540070313623995,0.42578666493529277
ETTh1_96,set_tf_cosine,3,0.7930404159769504,0.4939984001674066,0.8335281192209207,0.8271157262274992,0.8085794764532435,,0.5069872960688082,0.4928877602124725,
ETTh1_96,set_tf_asymmetric,4,0.8451279327888677,0.5186878043683363,0.8909825703896874,0.8727688119098235,0.8608191220039633,,0.5365415695463275,0.5131946519697498,
ETTh1_96,set_onpolicy_cosine,1,0.7116541235622427,0.4160590389184033,0.7217874500439025,0.7116541235622427,0.7262220441039616,,0.4160590389184033,0.4224261144194757,
ETTh1_96,set_onpolicy_asymmetric,2,0.7140509399288998,0.42109084645996575,0.7251593474907335,0.7201563188288801,0.7241707123759642,,0.418006273811417,0.42305196949280083,
ETTh1_720,individual_tf_cosine,4,1.8058243319229668,0.7111191998913795,1.8325279935255647,1.8250462496801576,1.8173042422065324,,0.6439621065994275,0.7160628189797552,
ETTh1_720,individual_tf_asymmetric,8,1.7118763709608904,0.6270372339901672,1.7139484182403053,1.8145606908510103,1.7958962200669404,1.7139484182403053,0.7187042254768644,0.6128938967075022,0.613503764040875
ETTh1_720,individual_onpolicy_cosine,2,1.631595160220851,0.5821649892840672,1.6680907505379876,1.6565633940272741,1.668698104192144,,0.5729644210606374,0.6043053224191258,
ETTh1_720,individual_onpolicy_asymmetric,7,1.6662937702265452,0.598619976826714,1.696825966261632,1.7651539615498206,1.7045081752916553,1.696825966261632,0.637853895214361,0.6042716491164853,0.6099671283259681
ETTh1_720,set_tf_cosine,6,1.7238492770575482,0.728181649839964,1.799496370116205,1.7847473293694562,1.7857851009024674,1.799496370116205,0.6509638430618787,0.7468588391290966,0.7448526040618951
ETTh1_720,set_tf_asymmetric,1,1.7773093382254812,0.6709288663744981,1.8583324186121186,1.7773093382254812,1.8570522718895464,,0.6709288663744981,0.7461504683882607,
ETTh1_720,set_onpolicy_cosine,1,1.6159649267226286,0.5730103525803663,1.661926501377439,1.6159649267226286,1.6290334843356713,,0.5730103525803663,0.608238809728304,
ETTh1_720,set_onpolicy_asymmetric,8,1.6010059985054093,0.6135914276066559,1.638088384103009,1.6760800854893554,1.6682225704792037,1.638088384103009,0.5821785725706858,0.5938348097771893,0.6197892735338089
