cell,arm,oracle,prefix,score,best_epoch,best_val_fr_agg_mse,test_fr_agg_mse,test_oracle_action_acc,test_expert_rank_median,test_ndcg_at_10,test_spearman
ETTh1_96,individual_tf_cosine,individual,tf,cosine,1,0.7496106728051497,0.4386258588582621,0.00783786525974026,613.3431818181818,0.9706624525611277,0.3905032311501845
ETTh1_96,individual_tf_asymmetric,individual,tf,asymmetric,1,0.7780877049350224,0.4578055296548496,0.00734577922077922,634.4042207792207,0.9684852124228105,0.3486678609496029
ETTh1_96,individual_onpolicy_cosine,individual,onpolicy,cosine,2,0.7326377608399876,0.41772384419624037,0.008375608766233767,548.9595779220779,0.9698744451167522,0.36707543610119964
ETTh1_96,individual_onpolicy_asymmetric,individual,onpolicy,asymmetric,9,0.7371522057554024,0.42862891428670374,0.00854301948051948,485.73051948051955,0.9710308941056975,0.3506428104225626
ETTh1_96,set_tf_cosine,greedy_set,tf,cosine,3,0.7930404159769504,0.4939984001674066,0.010191761363636363,851.6535714285714,0.6568638719908604,0.23223538754623146
ETTh1_96,set_tf_asymmetric,greedy_set,tf,asymmetric,4,0.8451279327888677,0.5186878043683363,0.010369318181818181,894.259090909091,0.6492493620214911,0.23692216426882298
ETTh1_96,set_onpolicy_cosine,greedy_set,onpolicy,cosine,1,0.7116541235622427,0.4160590389184033,0.02900771103896104,114.35633116883116,0.6872895464010828,0.18332988661748703
ETTh1_96,set_onpolicy_asymmetric,greedy_set,onpolicy,asymmetric,2,0.7140509399288998,0.42109084645996575,0.031128246753246748,103.56477272727273,0.6817391021636786,0.16918586899686305
ETTh1_720,individual_tf_cosine,individual,tf,cosine,4,1.8058243319229668,0.7111191998913795,0.005573792016806722,799.9382352941176,0.9571835409568138,0.17907165823968005
ETTh1_720,individual_tf_asymmetric,individual,tf,asymmetric,8,1.7118763709608904,0.6270372339901672,0.015158103682695568,610.4632352941177,0.9705549246874176,0.22629290187423381
ETTh1_720,individual_onpolicy_cosine,individual,onpolicy,cosine,2,1.631595160220851,0.5821649892840672,0.015066191917989686,419.1466386554622,0.9695462928850109,0.28587416487356604
ETTh1_720,individual_onpolicy_asymmetric,individual,onpolicy,asymmetric,7,1.6662937702265452,0.598619976826714,0.01619616596638656,534.6512605042017,0.9700030079408852,0.293756491814804
ETTh1_720,set_tf_cosine,greedy_set,tf,cosine,6,1.7238492770575482,0.728181649839964,0.00449131858699462,605.3869747899159,0.551531000256914,0.2614927697039693
ETTh1_720,set_tf_asymmetric,greedy_set,tf,asymmetric,1,1.7773093382254812,0.6709288663744981,0.005354053387027077,474.00819327731097,0.6109920730329111,0.28448614927512605
ETTh1_720,set_onpolicy_cosine,greedy_set,onpolicy,cosine,1,1.6159649267226286,0.5730103525803663,0.016134376546070604,110.54390756302523,0.6422774375173725,0.37773726395126156
ETTh1_720,set_onpolicy_asymmetric,greedy_set,onpolicy,asymmetric,8,1.6010059985054093,0.6135914276066559,0.01512103003191472,128.39117647058825,0.611283612777205,0.24535331644012062
