cell,type,factor,metric,mean_individual,mean_greedy_set,effect_hi_minus_lo,better_level,n_arms,mean_tf,mean_onpolicy,mean_cosine,mean_asymmetric,individual|tf,individual|onpolicy,greedy_set|tf,greedy_set|onpolicy,interaction,individual|cosine,individual|asymmetric,greedy_set|cosine,greedy_set|asymmetric,tf|cosine,tf|asymmetric,onpolicy|cosine,onpolicy|asymmetric,value
ETTh1_720,interaction,prefix x score,retrieval_augmented_frozen_host_mse,,,,,8,,,,,,,,,0.01776729807422156,,,,,0.48462483621742164,0.47291914352578723,0.4681718350532046,0.47423344043579174,
ETTh1_720,interaction,prefix x score,final_effective_rank,,,,,8,,,,,,,,,-3.615488052368164,,,,,35.252573013305664,41.44661521911621,41.92900276184082,44.5075569152832,
ALL,consistency,fr_agg_vs_delta_mse,pearson,,,,,16,,,,,,,,,,,,,,,,,,-0.358168173984697
ALL,consistency,fr_agg_vs_delta_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,-0.2852941176470588
ALL,consistency,fr_agg_vs_stage2_mse,pearson,,,,,,,,,,,,,,,,,,,,,,,0.9460437673037773
ALL,consistency,fr_agg_vs_stage2_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,0.9823529411764705
ETTh1_96,consistency,fr_agg_vs_delta_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,1.0
ETTh1_720,consistency,fr_agg_vs_delta_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571
Weather_96,consistency,fr_agg_vs_delta_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,nan
Weather_720,consistency,fr_agg_vs_delta_mse,spearman,,,,,,,,,,,,,,,,,,,,,,,nan
