step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_weighted_topk_ce_loss,loss_weighted_topk_effective_positives,loss_weighted_topk_oracle_mass,loss_weighted_topk_top1_weight,loss_weighted_topk_weight_entropy,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.0013786764705882354,0.01938643105359388,0.009511709095863234,0.10003737665071082,720.3691494084206,571.094537815126,0.5218901195477287,8.029199935808903,9.268256028159326,0.01715221411011632,0.17690915285664446,2.2160594498409942,7201.0,0.9616619754238289,0.0013786764705882354,0.964329916044694,0.21892190029683387,8.029199935808903
1,0.02059904844382731,0.1548597381426757,0.08744361718036547,0.017800561052124884,128.1640393132923,81.49159663865547,0.27227976556648226,5.7954727821991225,9.424432628295001,0.04759515232226553,0.16728283820219902,2.2360453224983536,7200.0,0.6515201052196887,0.02059904844382731,1.1961891119595336,0.5393808100268244,5.7954727821991225
2,0.018119747899159665,0.14920600607772083,0.08209497038619358,0.0160095016525847,115.25240201910003,74.50420168067227,0.20662335570150314,5.7849982906790345,9.619125969269696,0.04642033891678013,0.15170003816548014,2.259308581592656,7199.0,0.6010704905170352,0.018119747899159665,1.114421578014598,0.44230544662204424,5.7849982906790345
3,0.01797299802365924,0.14612039681054464,0.07951912384855897,0.015072664769832045,108.49304098642173,69.19117647058823,0.16317056585885897,5.772760757879049,9.727649580530759,0.04586939467704158,0.14201183779900814,2.272334399844418,7198.0,0.5772496341970288,0.01797299802365924,1.104399981211965,0.39209194845713735,5.772760757879049
4,0.016972781761604196,0.1440929314121604,0.07610525829451424,0.014548598099480375,104.7062608133845,66.3046218487395,0.13116736747246205,5.772671360929473,9.794454680771388,0.045498318884114756,0.1353329910168878,2.280098632604134,7197.0,0.565412743001425,0.016972781761604196,1.0885934850686239,0.3584906360806351,5.772671360929473
5,0.017637018043892224,0.14420878655519806,0.07594306106452181,0.014462821018302954,104.07446012577088,66.24369747899159,0.1113017187766856,5.773056724492242,9.84420806019246,0.045239835613634156,0.13003594082381045,2.2858099025838516,7196.0,0.5591357103040239,0.017637018043892224,1.089867665737617,0.33464836139045284,5.773056724492242
6,0.015076618884228357,0.14600840350221686,0.07824857888289359,0.01435912199007316,103.31388252923469,65.23949579831933,0.09438523818824847,5.774046030365119,9.877876175551854,0.045017876443179214,0.1261176740703713,2.289575902353816,7195.0,0.555136507361376,0.015076618884228357,1.0787436286253589,0.31536083762640915,5.774046030365119
7,0.016694729365095373,0.14975824898907117,0.08171264838990795,0.014190517978335754,102.08658629906277,64.9873949579832,0.08321356024013973,5.777373261812355,9.903396574389033,0.04474379917207573,0.12297176314564813,2.2924425050991926,7194.0,0.5509491815787404,0.016694729365095373,1.0776969562245517,0.2998340922362639,5.777373261812355
8,0.017884175731417012,0.1513261555404473,0.08041507050301097,0.014104821183620914,101.45597889443405,64.33403361344538,0.07322132739066264,5.778619333475578,9.922063979781976,0.04451035626600457,0.12045212057145203,2.294494739099711,7193.0,0.5491348868157683,0.017884175731417012,1.07877588854367,0.2856670842857663,5.778619333475578
9,0.017455511616871637,0.15187453672665507,0.07892826250402116,0.014092159825093466,101.35081334274356,64.30882352941177,0.06619707624107099,5.781378001725974,9.935771329062325,0.044291189499982016,0.11840017107041444,2.29595261862298,7192.0,0.5467884666403803,0.017455511616871637,1.0765278401682858,0.2731395561926826,5.781378001725974
