epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_containment_at_10_t0,val_expert_containment_at_10_tge1,val_expert_rank_median,val_expert_rank_median_t0,val_expert_rank_median_tge1,val_expert_regret_mean,val_expert_regret_mean_t0,val_expert_regret_mean_tge1,val_free_running_aggregate_future_mse,val_loss_effective_positive_count,val_loss_effective_positive_count_t0,val_loss_effective_positive_count_tge1,val_loss_student_entropy,val_loss_student_entropy_t0,val_loss_student_entropy_tge1,val_loss_teacher_entropy,val_loss_teacher_entropy_t0,val_loss_teacher_entropy_tge1,val_loss_teacher_top1_weight,val_loss_teacher_top1_weight_t0,val_loss_teacher_top1_weight_tge1,val_loss_topm_probability_mass,val_loss_topm_probability_mass_t0,val_loss_topm_probability_mass_tge1,val_ndcg_at_10,val_ndcg_at_10_t0,val_ndcg_at_10_tge1,val_oracle_action_acc,val_oracle_action_acc_t0,val_oracle_action_acc_tge1,val_spearman,val_spearman_t0,val_spearman_tge1,val_step_loss,val_step_loss_t0,val_step_loss_tge1
1,3.046317831479464,0.0,40.05354690551758,1.0,2.2550514344743533e-08,0.20382978241929803,False,0.08306539058685303,0.07919961214065552,0.09376325458288193,0.4666101036332772,0.5842161394673928,0.013116308470290772,0.08946349557522124,0.05236646649810366,0.1284990723396951,598.9851058786346,263.94374209860933,0.6306015400100599,5.815547491596863,4608.740873893806,0.9433218021082366,0.013116308470290772,1.0960472124980765,0.26765421881886015,0.7206536631103412,0.1435298752235327,0.03809704028946512,0.1552446346606513,179.31344537815121,1060.186974789916,81.43860877684406,0.36935153164795187,1.2238963156343758,0.2744021112050159,1.6484047748710424,10.000006565126052,10.000065651260504,10.0,6.405124488898688,6.290977977904953,6.417807434564656,0.5301609379497647,0.6030408564735862,0.5220631692248956,0.80404208353838,0.7739231069298351,0.8073886364948849,0.03633868283080868,0.016018414290308,0.038596490446419864,0.6093055743442364,0.9374841136090896,0.5728412922036971,0.01635527372782846,0.003939075630252101,0.017734851294225834,0.24639907972287906,0.15642909639975566,0.2563957445365594,6.090462464745306,8.503137179783412,5.822387496407739
2,2.6079761347194275,0.0,42.68758773803711,1.0,2.4045514024351178e-08,0.26976190849228393,False,0.08136279881000519,0.11935311555862427,0.08326081186532974,0.4411823235359468,,0.02101769911504425,0.12981984829329962,0.07903365992414665,0.09673111235251057,451.5923870101138,171.77496839443742,0.5256966230766812,5.210989589184786,4610.386891592921,0.952203232667841,0.02101769911504425,0.9914359078470585,0.2594322752885463,0.6414319277751611,0.1529913804306015,0.03541306228603886,0.16605563800221956,180.61722689075634,1124.7731092436975,75.71101774042951,0.36559376001099764,1.2583778951661426,0.2663955227715371,1.6483831837652159,10.000032825630251,10.000065651260504,10.000029178338002,6.337192750277639,6.245858703340803,6.347340977715066,0.5282552484548142,0.6030408564735862,0.5199457364527285,0.8044248692503496,0.7739231069298351,0.807813953952629,0.03874410436405847,0.015677897050565905,0.04130701628777987,0.612487926766151,0.9354731426769946,0.5766006805538352,0.018315543130259303,0.0034138655462184874,0.01997128508404162,0.22221029148561583,0.10877374979670891,0.23481435167327216,6.031879343605842,8.563691811401304,5.750566847184125
3,2.4934763200622316,0.0,43.19544982910156,1.0,2.54528540466481e-08,0.31960250861019707,False,0.08178449422121048,0.10977984219789505,0.07787849754095078,0.45290051699906464,,0.025106668773704172,0.14443742098609355,0.08896965865992415,0.0892709578572438,417.14585967130216,152.33312262958282,0.4982281953152905,5.1029348394512075,4614.133296460177,0.9549525194011356,0.025106668773704172,0.9627253786388752,0.2714520759274994,0.6136295195909125,0.15909231345192723,0.03784988260976657,0.17256369465661173,179.47415966386558,1128.6365546218487,74.01167133520075,0.35930647363107526,1.2472188651655651,0.2606495412383542,1.650639360135582,10.000026260504201,10.000065651260504,10.0000218837535,6.322802598235987,6.25359509972965,6.330492320292247,0.526554283286844,0.6030408564735862,0.5180557751549837,0.8050803931821294,0.7739231069298351,0.808542313876829,0.03969442200373506,0.016959406669692183,0.04222053481862871,0.6165303407346501,0.9366793052739456,0.5809582335636172,0.019013377412089277,0.0040703781512605045,0.020673710663292474,0.19739000995525263,0.09080050406629282,0.20923328838735927,6.018572919809516,8.477521033848033,5.745356462694127
4,2.3334985145725566,0.0,43.9107551574707,1.0,2.5038959350354162e-08,0.3626812295711855,False,0.08031678944826126,0.1420913189649582,0.07698176056146622,0.43822742952625254,,0.02585730088495575,0.15626975347661187,0.09815502528445007,0.08542441562502191,398.37205673198486,138.2212389380531,0.48039953460547175,5.037174556107647,4608.526548672567,0.9568182911568436,0.02585730088495575,0.9449617197047142,0.28204131551973943,0.598871575845064,0.15873586572471915,0.03588034479464052,0.17238647916139455,182.92079831932773,1154.2163865546217,74.99906629318394,0.3615658585443905,1.2574901029217143,0.2620187202802434,1.6578006981747349,10.000019695378151,10.000065651260504,10.000014589169002,6.2997679415871115,6.236552206408076,6.30679191216256,0.528098007175727,0.6030408564735862,0.5197710239204093,0.8048741548126485,0.7739231069298351,0.8083131601329612,0.0408963957565755,0.016747965037240204,0.043579554725390525,0.6119233051267992,0.9366145634851536,0.5758464986425377,0.0200000772385725,0.003676470588235294,0.021813811310832185,0.19649547243939489,0.11165399643846094,0.20592230310616533,5.985284845768904,8.499990608511853,5.705873094353021
5,2.2624800463882306,0.0,43.066795349121094,1.0,2.4618106664320294e-08,0.3971311614113006,False,0.07859353721141815,0.17529979348182678,0.0767921432852745,0.4422175105763357,0.5908894745507779,0.02953144753476612,0.16405262326169406,0.10293536662452592,0.08097874474968977,377.8951682996207,126.3141592920354,0.45125290332303186,4.977814718685319,4608.526548672567,0.958816927957776,0.02953144753476612,0.9161306018888121,0.28524718726345066,0.5849016673024626,0.16372883722593054,0.03385287939625628,0.17815949920700547,187.17878151260504,1227.4411764705883,71.59407096171803,0.3576232658024142,1.2655286113535906,0.2567448940745057,1.6518926028968275,10.000026260504201,10.000065651260504,10.0000218837535,6.301890368521715,6.254770097612333,6.3071259541783125,0.5287138708467994,0.6030408564735862,0.5204553168882675,0.8040187974562164,0.7739231069298351,0.8073627630702587,0.04154656365593027,0.016299406501772154,0.04435180333972561,0.613189041163741,0.9365975283274129,0.5772547648122219,0.020473152500804233,0.0037343981714934864,0.02233301409294987,0.19700047561790954,0.09482899030808051,0.2083528628745572,5.973133598556037,8.59961251250836,5.681302608116891
6,2.182846544469625,0.0,42.90289306640625,1.0,2.5860126484644752e-08,0.4303393057882616,False,0.07921993732452393,0.16425307095050812,0.07752932608127594,0.43890190293074866,,0.030835176991150442,0.17094658659924147,0.10767620101137801,0.07944201123924259,370.49591103034135,121.60050568900127,0.44697303005156264,4.956608375616833,4612.260094026548,0.959955002128249,0.030835176991150442,0.9116213992520621,0.291336023408307,0.5755165474755424,0.156851674563901,0.03581469352631008,0.1703002280125222,188.62794117647059,1162.264705882353,80.44607843137254,0.34728612284676924,1.2320734739397503,0.24897641716977137,1.6247456098663569,10.000013130252102,10.000065651260504,10.0000072945845,6.2558468533163305,6.228040096138706,6.258936493002734,0.5275837219781986,0.6030408564735862,0.5191995959231555,0.8046036385938902,0.7739231069298351,0.8080125865565628,0.0425638349133156,0.017146889383673456,0.045387939972164726,0.6160032774658264,0.937411374154211,0.5802912667226724,0.019568323657824464,0.0034138655462184874,0.021363263448002906,0.20389987388559935,0.13613043954494122,0.21142981103456138,5.9768678529923704,8.491012215614319,5.69751847936771
7,2.146584298784588,0.0,42.42592239379883,1.0,2.87917796271131e-08,0.46058445801768705,False,0.08060717582702637,0.13497784733772278,0.07478789240121841,0.42650024090973004,,0.03182285082174463,0.1760034766118837,0.11135034766118837,0.07718833812138486,360.0809497471555,116.14791403286978,0.43355025677893466,4.925919739545974,4609.1823838495575,0.9609443298935438,0.03182285082174463,0.8988524540674822,0.30001710700527473,0.5684275394293813,0.15524206012252623,0.03666815992069094,0.16841693792273016,190.6163865546218,1118.1050420168067,87.56209150326798,0.3497833001145608,1.2229482915189838,0.2527649677362916,1.5962231807307776,10.000026260504201,10.000065651260504,10.0000218837535,6.258238942082189,6.209654414353251,6.26363722294096,0.5278565464494358,0.6030408564735862,0.5195027342245303,0.804744453728199,0.7739231069298351,0.8081690478169061,0.04134643499407384,0.017617102172044045,0.043983027529854925,0.6228811475346568,0.937661446443125,0.5879055587670493,0.01923427459541239,0.0040703781512605045,0.02091915197809593,0.19483785184509092,0.11514565742994601,0.20369254011344037,6.0296698804663,8.426278834583378,5.763379996675514
8,2.145507024852804,0.0,42.5582389831543,1.0,2.9271674861774954e-08,0.48940552321352526,False,0.07955995947122574,0.15195010602474213,0.08620954304933548,0.4317602705136266,,0.03338337547408344,0.17734671302149177,0.11310840707964602,0.07546744876901482,351.9190502528445,112.75094816687736,0.42637869314433047,4.914144733310801,4608.526548672567,0.9618104313477855,0.03338337547408344,0.891086549094293,0.30491204225219126,0.5618288060921032,0.15549848622431148,0.035660219981389886,0.16881384914019165,202.20294117647057,1215.9936974789916,89.55952380952381,0.36104918197599556,1.237964874430865,0.2636141050365657,1.6348557687368397,10.000039390756303,10.000065651260504,10.000036472922503,6.3174069279382215,6.275877903489506,6.322021263988078,0.5297976587437281,0.6030408564735862,0.5216595256626327,0.8037338682708619,0.7739231069298351,0.8070461750865315,0.03992722213183391,0.01660752376933067,0.0425182997276676,0.6152787792519862,0.9373768422783924,0.5794901055823856,0.01936596330145703,0.0034795168067226893,0.021131124023094177,0.19007103069835132,0.11887338392390663,0.19798188033995628,6.069263884199768,8.54278498737752,5.794428206068907
9,2.0896815143231637,0.0,42.4426155090332,1.0,3.0552548935247614e-08,0.5177280657719634,False,0.08021670579910278,0.14378759264945984,0.07774332165718079,0.42966131115862727,,0.034015486725663714,0.18453697850821746,0.11826406447534767,0.07467711056829442,347.97866624525915,109.47724399494311,0.4205448908352219,4.910842906057307,4608.526548672567,0.9625122544135517,0.034015486725663714,0.8857118836433336,0.30898470989295485,0.5571010524286935,0.1510658675859518,0.03706206747588991,0.1637329564870698,195.5703781512605,1160.1008403361345,88.40032679738562,0.35296548438696745,1.21316650160784,0.25738759358464824,1.6109611825097567,10.000045955882353,10.000065651260504,10.000043767507004,6.266463392822683,6.258344316682896,6.26736551239377,0.5273863403674434,0.6030408564735862,0.5189802830223165,0.8050564437102871,0.7739231069298351,0.8085157033525596,0.041412647877746164,0.017457187488924532,0.044074365698726345,0.6192386284094898,0.9385688567862791,0.5837574919231799,0.018851566368698325,0.003800049431997688,0.02052395713944284,0.1942090582079619,0.12802275826685913,0.20156309153475108,6.032660563152376,8.454212077525483,5.7635992837775865
10,2.0388961575560876,0.0,41.81208038330078,1.0,2.9032717563381993e-08,0.5430544190684699,False,0.07768519222736359,0.19693990051746368,0.08032653480768204,0.4225283554028331,0.6076256806925929,0.0347661188369153,0.18836915297092288,0.1218591972187105,0.07250681473599001,337.74162452591656,107.47724399494311,0.40742458211429955,4.881548223242295,4608.526548672567,0.9636035524261586,0.0347661188369153,0.8723918265285142,0.3111910184809296,0.5494198343809577,0.1569999691771985,0.03609274592281891,0.17043410509435178,200.5497899159664,1201.920168067227,89.28641456582633,0.3508648170009568,1.222456894454961,0.25402125283940086,1.6115625902154342,10.000039390756303,10.000065651260504,10.0000364729225,6.256145371308848,6.260471472219259,6.255664693429913,0.5275650370521705,0.6030408564735862,0.5191788348942354,0.8048836358329827,0.7739231069298351,0.8083236945999992,0.042570612319187004,0.017517481154009758,0.04535429355976225,0.617538457320017,0.9385721948968262,0.5818680420337049,0.020212092196584496,0.003939075630252101,0.02202020514839921,0.20909768580786275,0.15448444859883528,0.21516582327553252,6.018455620473173,8.483127917562213,5.744603143018835
