step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_pred_rank_mean,loss_top10_acc,loss_top1_acc,loss_top1_top2_margin_mean,loss_top5_acc,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.0019695378151260504,0.017710392981642436,0.009052150272333822,0.1174975949155652,846.1001800408884,639.1890756302521,0.5254240918497578,845.1001800408884,0.017710392981642436,0.0019695378151260504,0.023094607552585873,0.009052150272333822,7201.0,0.9614640652131634,0.0019695378151260504,0.9678638832283621,0.1279773148122816,8.021385651676594
1,0.023232822541241385,0.16924122597302207,0.09820270022580854,0.018130770745783058,130.54154955038504,79.81512605042016,0.2694379500262126,129.54154955238855,0.16924122597302207,0.023232822541241385,0.02114741366205956,0.09820270022580854,7200.0,0.6629577251542517,0.023232822541241385,1.1708540068078441,0.4407092487951689,5.548455604985983
2,0.020015910776535504,0.16279195504998709,0.09310893481205992,0.01630115377650197,117.35200665177418,70.56932773109244,0.19854882101238774,116.35200665177418,0.16279195504998709,0.020015910776535504,0.01687604243702748,0.09310893481205992,7199.0,0.6105264954957641,0.020015910776535504,1.1074345026384382,0.35819274651474287,5.509926644693904
3,0.019737858380026677,0.1614557588003388,0.08832411645684674,0.015091154677157501,108.62613154659752,67.29621848739495,0.15225298497278025,107.62613154659752,0.1614557588003388,0.019737858380026677,0.014184381538647924,0.08832411645684674,7198.0,0.5886389810998901,0.019737858380026677,1.1009986608469187,0.31290832267459795,5.484426168834462
4,0.02018196984906407,0.16252162633855052,0.08930116166368503,0.014588348782707412,104.99234586202797,64.09033613445378,0.12397544031195781,103.99234586202797,0.16252162633855052,0.02018196984906407,0.012061348009341936,0.08930116166368503,7197.0,0.5764254608950695,0.02018196984906407,1.0911654442110483,0.2836025759448458,5.469356801329541
5,0.02053339718332311,0.16282671165629095,0.08793020887816903,0.014562791469213436,104.79384731444992,64.03151260504201,0.10362299197517774,103.79378166318942,0.16282671165629095,0.02053339718332311,0.01051812938061355,0.08793020887816903,7196.0,0.5687716538164796,0.02053339718332311,1.0847891284262432,0.26012168566491994,5.469591685703823
6,0.01905817474324663,0.16124335771911785,0.08392548197958649,0.014257606854584036,102.58348139193879,63.20798319327731,0.08874499140416875,101.58348139193879,0.16124335771911785,0.01905817474324663,0.00928632459875212,0.08392548197958649,7195.0,0.563996179013693,0.01905817474324663,1.0796631388992322,0.2421680409559833,5.467512889068668
7,0.018177675482417856,0.16564971582666665,0.08718873579211596,0.014265001451150523,102.62242032299523,62.80882352941177,0.07810281588257674,101.62242032299523,0.16564971582666665,0.018177675482417856,0.008348845956483152,0.08718873579211596,7194.0,0.5597573202572951,0.018177675482417856,1.0840471475502522,0.22727261867367898,5.465821523626311
8,0.017694945627150415,0.16246756059000222,0.086057217024705,0.014359377190067643,103.28700034758624,63.596638655462186,0.06977822429484867,102.28693469632573,0.16246756059000222,0.017694945627150415,0.007594023505421434,0.086057217024705,7193.0,0.5564718791792372,0.017694945627150415,1.0886529358495183,0.21487001329973007,5.470973341404891
9,0.018892115670718065,0.1613321799800551,0.08692613075009915,0.014231465158674928,102.3526979214003,63.21008403361345,0.06316113736903091,101.35263227013981,0.1613321799800551,0.018892115670718065,0.006966138871468823,0.08692613075009915,7192.0,0.5539448616885337,0.018892115670718065,1.0898967771595265,0.20422864756150788,5.469892913553895
