epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_containment_at_10_t0,val_expert_containment_at_10_tge1,val_expert_rank_median,val_expert_rank_median_t0,val_expert_rank_median_tge1,val_expert_regret_mean,val_expert_regret_mean_t0,val_expert_regret_mean_tge1,val_free_running_aggregate_future_mse,val_loss_effective_positive_count,val_loss_effective_positive_count_t0,val_loss_effective_positive_count_tge1,val_loss_student_entropy,val_loss_student_entropy_t0,val_loss_student_entropy_tge1,val_loss_teacher_entropy,val_loss_teacher_entropy_t0,val_loss_teacher_entropy_tge1,val_loss_teacher_top1_weight,val_loss_teacher_top1_weight_t0,val_loss_teacher_top1_weight_tge1,val_loss_topm_probability_mass,val_loss_topm_probability_mass_t0,val_loss_topm_probability_mass_tge1,val_ndcg_at_10,val_ndcg_at_10_t0,val_ndcg_at_10_tge1,val_oracle_action_acc,val_oracle_action_acc_t0,val_oracle_action_acc_tge1,val_spearman,val_spearman_t0,val_spearman_tge1,val_step_loss,val_step_loss_t0,val_step_loss_tge1
1,3.0779903554924535,0.0,40.55891799926758,1.0,2.54528540466481e-08,0.20261648996244574,False,0.08400328457355499,0.06587318331003189,0.08673782646656036,0.4548234025295377,0.5819252911220502,0.013294089759797725,0.09086599241466498,0.05335414032869785,0.13177532226632568,614.3630886536031,267.5872313527181,0.6290275257565882,5.462186450451876,4608.740873893806,0.9434926582950105,0.013294089759797725,1.0944731961158676,0.24208312491079428,0.7180190823416492,0.13523541772581577,0.038390540040465965,0.1459959596908546,190.18235294117645,1077.9558823529412,91.5408496732026,0.3726955441178895,1.2214287002453534,0.2783918601037268,1.6339936012268823,10.000059086134453,10.000065651260504,10.000058356676002,6.3692446972141745,6.255201081267926,6.381916210097091,0.5317590127910387,0.6030408564735862,0.5238388079374221,0.8031521800435891,0.7739231069298351,0.8063998548340064,0.03580599144964734,0.016305556752159958,0.037972706416034833,0.6090430266122107,0.9377528264993379,0.572519715513641,0.01537513902739567,0.004201680672268907,0.01661663440018753,0.2352366998049103,0.13793225452305277,0.2460483048362278,5.814687649342193,7.947499188054509,5.577708589485269
2,2.6129735417171385,0.0,43.378787994384766,1.0,2.678635624420167e-08,0.27029074114691004,False,0.08199618756771088,0.11174158751964569,0.07266964763402939,0.4348201550649567,,0.02113621997471555,0.1296025600505689,0.07915218078381796,0.10216248931895115,477.04547250316057,176.9070796460177,0.527125706743124,4.875499138789895,4610.386891592921,0.9522078161218525,0.02113621997471555,0.9928649911273144,0.22768991807340871,0.6413679708704334,0.15124544307839968,0.03501915472301365,0.16415947511788706,187.47626050420166,1184.5210084033613,76.69351073762839,0.37866627389345975,1.2972531824552713,0.27660106183103633,1.6813712052598526,10.000039390756303,10.000065651260504,10.000036472922503,6.28732472157278,6.206946080472289,6.296255681695056,0.5287164110252085,0.6030408564735862,0.5204581393087222,0.8042552395402884,0.7739231069298351,0.8076254764970056,0.039688000961245015,0.01590360184038692,0.04233071197467368,0.6070783097328258,0.934432120884166,0.5707056640493435,0.017693014708230224,0.003085609243697479,0.019316059759844975,0.20394429888850216,0.07767556234410054,0.21797415850454682,5.697915817108475,8.068721707127676,5.434492940439676
3,2.5023329588468974,0.0,44.533851623535156,1.0,2.5177680385013446e-08,0.3201796697442105,False,0.08306529372930527,0.08938565850257874,0.07217995822429657,0.44599441270870466,,0.024948640960809104,0.1449905183312263,0.08940423514538559,0.09428845742937705,440.26603982300884,154.29582806573956,0.4905235259481688,4.756524467890242,4614.133296460177,0.9553308824145538,0.024948640960809104,0.9550207125967282,0.23840549058650434,0.6096860817933806,0.15106663995211117,0.03804683638345294,0.16362439590418426,189.73571428571427,1169.2521008403362,80.90056022408963,0.3558752293166305,1.2437714303554106,0.2572200958678772,1.6284463709956507,10.000045955882353,10.000065651260504,10.000043767507002,6.26743871264097,6.183225460413124,6.276795740666286,0.5284281496021177,0.6030408564735862,0.5201378488386212,0.804567531840641,0.7739231069298351,0.8079724679418416,0.04020933842672521,0.017018082683787097,0.042786144620385005,0.6169887613035551,0.9369508930865456,0.5814374133276672,0.01774592189932195,0.004201680672268907,0.01925083759121673,0.18839140194390497,0.08558699576122618,0.19981411374198038,5.700079036059499,7.98200586463223,5.446531610662529
4,2.362145700263105,0.0,44.54271697998047,1.0,2.7045167882988608e-08,0.3648677822490018,False,0.08042456209659576,0.14507140219211578,0.07317997515201569,0.43086236549763696,,0.028286978508217445,0.15585493046776233,0.09687104930467762,0.09204393517685608,428.95974241466496,143.9513274336283,0.4810690185297681,4.704137034120813,4608.526548672567,0.9567317890307092,0.028286978508217445,0.9456312034123692,0.24818038650743757,0.5971991878035849,0.15284694767314472,0.03678401510285981,0.16574282906984303,194.79768907563025,1215.810924369748,81.35177404295051,0.36588226715494104,1.2554700674974368,0.26703917822799705,1.6534975008473738,10.000059086134454,10.000065651260504,10.000058356676004,6.265004121155298,6.205834284550002,6.271578547444775,0.5268713084433009,0.6030408564735862,0.5184080253288248,0.8049430009697666,0.7739231069298351,0.8083896558630922,0.040675952920885515,0.01689149176044178,0.043318670827601484,0.6137081531979958,0.9364922893147508,0.577843249185023,0.018999860975734823,0.004529936974789916,0.02060763030917315,0.18805895426147368,0.09145565982292465,0.19879265364353468,5.703522967090126,7.997660027832544,5.448618849229857
5,2.266421313843573,0.0,43.913204193115234,1.0,2.1603913324952373e-08,0.3999257007680216,False,0.07883404195308685,0.17788928747177124,0.06948406994342804,0.4314433749268711,0.5998288410279065,0.028919089759797723,0.16482300884955753,0.10214522756005057,0.0873699302911816,407.64317319848294,128.79140328697852,0.4582491001931364,4.640555793205194,4608.526548672567,0.958767291982617,0.028919089759797723,0.9231267997761894,0.25319672194518744,0.5830585780999754,0.15436812600731348,0.03536285838785292,0.16759093352058688,200.85273109243698,1257.1785714285713,83.48319327731092,0.3617698902463807,1.26809628993398,0.2610669569477585,1.638392317749783,10.000026260504203,10.000065651260504,10.0000218837535,6.2676594710149685,6.239453582202687,6.270793458660778,0.5301072041809307,0.6030408564735862,0.5220034650373024,0.8036343778882706,0.7739231069298351,0.8069356302169859,0.040990350047610924,0.01659204505680647,0.04370127282436696,0.6152668411616518,0.9362167068639723,0.579605744972505,0.01890949395039127,0.0038734243697478993,0.020580168348240533,0.1804497303825075,0.06775383194995933,0.1929714968750128,5.703134972808742,8.029382160731725,5.444663063039522
6,2.2063059939748855,0.0,44.22895050048828,1.0,2.6916072926042034e-08,0.4330124714966232,False,0.079142265021801,0.16885799169540405,0.07473032921552658,0.42736006354853695,,0.030696902654867256,0.17169721871049304,0.10826880530973451,0.08573282647069352,399.8111567635904,125.23008849557522,0.44616746861492335,4.616608866548116,4612.260094026548,0.9599528143891191,0.030696902654867256,0.910815837975549,0.25909120063411983,0.5739528537079146,0.15275812538481562,0.03586489745580098,0.16574626182137278,204.03823529411764,1238.281512605042,89.12231559290382,0.3618793962965524,1.2637962294632898,0.2616664148335815,1.6321332521350966,10.000019695378151,10.000065651260504,10.000014589169002,6.222528127562098,6.190212165608125,6.226118790001428,0.5290481631557981,0.6030408564735862,0.5208267527871551,0.804105312709047,0.7739231069298351,0.8074588911289593,0.04200518368356939,0.016984887922010503,0.04478521654596482,0.6144069616346298,0.9360842570787719,0.5786650399186141,0.0191130128548238,0.003997003213510293,0.02079256948163641,0.19447663572551038,0.10627195272780575,0.20427715605858868,5.700872785003244,8.035059585290796,5.441518696082406
7,2.171257828617527,0.0,43.640201568603516,1.0,2.8548805985906256e-08,0.4637623898129676,False,0.08005629479885101,0.151125967502594,0.07146556675434113,0.4160380440189195,,0.031230246523388117,0.17554914664981036,0.11028365992414665,0.08404478988113935,391.82589285714283,119.36788874841972,0.4348431356891745,4.594173340670831,4609.1823838495575,0.9607133788872609,0.031230246523388117,0.9001453327469519,0.26664263416333417,0.5682364404389891,0.15269479120087598,0.03444374074079409,0.16583379680755175,209.06974789915967,1272.2878151260504,90.93440709617181,0.366854641595738,1.2949938940181702,0.2637280579932455,1.6465682941316226,10.000039390756303,10.000065651260504,10.000036472922503,6.2136478011347664,6.181029964895809,6.217272005161316,0.5319963346446761,0.6030408564735862,0.5241024988859084,0.8028072604361702,0.7739231069298351,0.8060166108257631,0.04228541818534826,0.017592820229274442,0.04502904018046758,0.6149719093464504,0.9354288253714057,0.5793655853436774,0.01916476149393731,0.003676470588235294,0.020885682705681977,0.17662574380526744,0.07715749817827577,0.1876777710971554,5.709258289797968,8.064304054284296,5.447586538188375
8,2.183534020474457,0.0,42.62396240234375,1.0,2.8180417999124074e-08,0.4928522004257303,False,0.07833027094602585,0.18650510907173157,0.07642216980457306,0.4196913719567288,,0.03255372945638432,0.17851216814159293,0.11235777496839444,0.0821684761389068,382.8382190265487,117.08091024020227,0.43317359072237493,4.5775919066066235,4608.526548672567,0.9614814333382208,0.03255372945638432,0.8978814448403046,0.2723094960973994,0.5604040546980881,0.1516184967253827,0.03326201805171846,0.16476921657801205,219.9390756302521,1337.9873949579833,95.71148459383754,0.3625424338219014,1.2620229007942336,0.2626001597138645,1.6285877516842286,10.000032825630251,10.000065651260504,10.000029178338002,6.250067015856255,6.261363112625956,6.248811893992954,0.5293658552926128,0.6030408564735862,0.5211797440502823,0.8040794612104152,0.7739231069298351,0.8074301672415908,0.04200926737351422,0.01722031608852842,0.044763595294068204,0.6161503030347223,0.9362682269400909,0.5805816448230147,0.018726828969827216,0.004193956995022898,0.020341592522583253,0.17955127182826439,0.09513769034245241,0.18893055866002126,5.7388630044059585,8.083700706978806,5.4783254818978655
