step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_effective_positive_count,loss_informative_row_fraction,loss_student_entropy,loss_teacher_entropy,loss_teacher_top1_weight,loss_topm_probability_mass,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.0018961628773758391,0.021649468611894537,0.01016822170090525,0.10911199572680033,785.7154829522141,600.9915966386554,0.5197779535621154,10.0,1.0,6.0026378311029,0.5624515469334707,0.7928393349802795,0.018166156038274157,7201.0,0.9617017114362797,0.0018961628773758391,0.962217749479939,0.12488639490145526,7.8940353764205415
1,0.02178077113290294,0.16499320327640832,0.0955805116481766,0.018261119109938436,131.48005749197569,84.28571428571429,0.26818744181616216,10.0,1.0,6.0116687852795385,0.5657557809428007,0.7904138602629429,0.05169708740177462,7200.0,0.6663569297735431,0.02178077113290294,1.1544504650876302,0.43994549161807833,5.598588668999552
2,0.021545198972986526,0.16276492223832287,0.08840135321365435,0.017073898244807654,122.91499318194991,76.96218487394958,0.1974976713448262,10.0,1.0,6.019949326996042,0.5395368192376209,0.8014105033724248,0.05004063622924272,7199.0,0.613643706721418,0.021545198972986526,1.0877717115110208,0.3502637350048442,5.573523064621356
3,0.017235386803621005,0.1570030586997501,0.08492183640693166,0.016112664627388685,115.97896073445553,73.24369747899159,0.15386350271331162,10.0,1.0,6.0344038069749075,0.5331291481226432,0.8038833599631526,0.04920944385328369,7198.0,0.5905241574935552,0.017235386803621005,1.0829287828141902,0.3046838201846086,5.553502939328426
4,0.01815450445067983,0.16119701566346803,0.08579075017145701,0.015566992447241954,112.03564479371079,69.98319327731092,0.12383778923496354,10.0,1.0,6.047095146499762,0.525565093054491,0.8070356554093481,0.04873147901018471,7197.0,0.5782349146589512,0.01815450445067983,1.066811870407908,0.2748602380419888,5.5364333240925765
5,0.020050667328055667,0.15876791902481258,0.0857405462576186,0.015504854686749989,111.57293466559979,70.33823529411765,0.10513843260627209,10.0,1.0,6.05854971869653,0.5232230184458885,0.8074880884725506,0.048306409994476794,7196.0,0.5698004992944854,0.020050667328055667,1.0679111145436764,0.2519739864981654,5.53322790951288
6,0.017366689324629408,0.15732359127806766,0.08396023855458538,0.01515790111113324,109.06109814283226,68.9873949579832,0.0906540138506088,10.0,1.0,6.068816451465382,0.5159423576996607,0.8105221895360145,0.0479610780940759,7195.0,0.5648738088853219,0.017366689324629408,1.06884049336199,0.23542939405590477,5.5262159269397
7,0.01711180795985861,0.15846283373055087,0.08409926476066604,0.01493317203228401,107.42923953352856,67.99579831932773,0.07995012536754503,10.0,1.0,6.0783825952465795,0.5133928583950556,0.8108707698954254,0.04763666932576751,7194.0,0.5605440268120846,0.01711180795985861,1.0779129917882069,0.22130615585335378,5.5228122192270614
8,0.01945980598351785,0.15721545974183984,0.08371308085923436,0.014809895323945539,106.52757740020752,66.96638655462185,0.0702310437336564,10.000065651260504,1.0,6.08722011782542,0.5084812160925705,0.813434611223325,0.047417927291752975,7193.0,0.5580648218258089,0.01945980598351785,1.06628148962094,0.20953564636376357,5.5218128266454745
9,0.016200413990045796,0.15958662886767327,0.08602632233919967,0.014858414802481146,106.8617191394838,67.59243697478992,0.06384240387852828,10.0,1.0,6.095714561077727,0.5061060588086853,0.814276954957417,0.04710513441686464,7192.0,0.555617960122954,0.016200413990045796,1.0637538485667284,0.19982808580269712,5.52521584715162
