oracle,ambiguity_bin,oracle_action_acc,regret_mean,n
individual,low,0.00889419084004047,0.5323769814148357,132446
individual,medium,0.006084899698463427,0.49891664480258674,55383
individual,high,0.006038477741890184,0.5052424260940763,7121
set,low,0.034081371726188144,0.1618440126361336,127489
set,medium,0.01957443908754834,0.11718890821921472,58699
set,high,0.014950924446473408,0.10308717931154159,8762
