cell,b0_unforced_mse,dense_forced_mse,delta_vs_b0,gap_recovery,seq_set_recall_at_10,duplicate_rate,invalid_rate,hard_aggregate_mse_seq,hard_aggregate_mse_b0,utility_spearman_mean,utility_pearson_mean
ETTh1_H96,0.3731216918222617,0.5299132439482158,0.15679155212595414,-1.8315433619673425,0.004272890484739682,0.0,0.0,1.6573268465112394,0.40741189560890606,0.5427018357601482,0.4242128364184173
Weather_H96,0.17552851828509117,0.33253416844885403,0.15700565016376286,-1.744121495170633,0.005931407415513049,0.0,0.0,4.465038953778897,0.2342055473922997,0.6576680077696219,0.5025606078163255
ETTh1_H720,0.46827278391906857,0.4926924446371416,0.024419660718073055,-1.8655405265155198,0.0014675745355985992,0.0,0.0,1.9608460450210428,0.5718632906897527,0.3828232935395208,0.4127105476653378
