b1_global_mse,b1_oracle_mse,b2_global_mse,b2_oracle_mse,b3_global_mse,b3_oracle_mse,block_mse,channel,global10_mse,global30_mse,globalU_mse,overlap_b1_b2,overlap_b1_b3,overlap_b2_b3,overlap_g_b1,overlap_g_b2,overlap_g_b3,query_id,rank_b1_of_b3,rank_b3_of_b1,rank_g_of_b1,rank_g_of_b3,split,unique_u
0.7487859129905701,0.3263051211833954,0.259621798992157,0.22063705325126648,0.40777096152305603,0.33569252490997314,0.2960890531539917,0,0.4038565754890442,0.38820597529411316,0.39339718222618103,0.0,0.0,0.30000001192092896,0.0,0.5,0.5,0,601.2999877929688,683.5,260.5,21.200000762939453,train,27.0
0.7628377676010132,0.2885378897190094,0.2585676908493042,0.228443443775177,0.4151601195335388,0.37105321884155273,0.3125145733356476,0,0.409319669008255,0.416405588388443,0.41108712553977966,0.0,0.0,0.5,0.0,0.5,0.699999988079071,1,409.70001220703125,793.5,280.3999938964844,12.600000381469727,train,25.0
0.797319769859314,0.27689072489738464,0.24577416479587555,0.22535452246665955,0.405409038066864,0.3652416169643402,0.3068324625492096,0,0.4044521749019623,0.4068164527416229,0.4025722146034241,0.0,0.0,0.6000000238418579,0.0,0.6000000238418579,0.699999988079071,2,384.0,856.9000244140625,297.6000061035156,11.800000190734863,train,24.0
0.7896974086761475,0.27127379179000854,0.22825554013252258,0.21047872304916382,0.3992488384246826,0.3532084822654724,0.2947072684764862,0,0.394310861825943,0.39474377036094666,0.3870528042316437,0.0,0.0,0.699999988079071,0.0,0.699999988079071,0.699999988079071,3,341.70001220703125,839.7000122070312,282.1000061035156,9.300000190734863,train,23.0
0.8433775901794434,0.2691734731197357,0.2166089415550232,0.19441582262516022,0.3543646037578583,0.3447587490081787,0.28456640243530273,0,0.3736478388309479,0.37711301445961,0.36757996678352356,0.0,0.0,0.800000011920929,0.0,0.699999988079071,0.800000011920929,4,304.70001220703125,918.2999877929688,297.5,7.5,train,22.0
0.8555895686149597,0.28293079137802124,0.2221892774105072,0.20026710629463196,0.3615250587463379,0.3462429940700531,0.28914275765419006,0,0.3809551000595093,0.36963361501693726,0.36042770743370056,0.0,0.0,0.800000011920929,0.0,0.699999988079071,0.699999988079071,5,276.1000061035156,922.0,292.3999938964844,7.900000095367432,train,22.0
0.8596653938293457,0.3212880492210388,0.21628139913082123,0.21587048470973969,0.3364524245262146,0.3356885313987732,0.29382914304733276,0,0.3661571145057678,0.3830757141113281,0.36589619517326355,0.0,0.0,0.699999988079071,0.0,0.699999988079071,0.800000011920929,6,252.10000610351562,841.7000122070312,271.0,8.100000381469727,train,23.0
0.8625086545944214,0.3432067334651947,0.22670391201972961,0.22717401385307312,0.3461803197860718,0.34683066606521606,0.306461900472641,0,0.375198632478714,0.3846033811569214,0.37612101435661316,0.0,0.0,0.800000011920929,0.0,0.699999988079071,0.800000011920929,7,228.0,832.1000366210938,276.8999938964844,8.0,train,22.0
0.82268226146698,0.3995799422264099,0.2496308982372284,0.23114138841629028,0.3951197564601898,0.3553647994995117,0.31985238194465637,0,0.4036318063735962,0.4084603786468506,0.3877870440483093,0.0,0.0,0.800000011920929,0.0,0.699999988079071,0.699999988079071,8,202.40000915527344,765.2999877929688,263.8000183105469,8.300000190734863,train,22.0
0.8380953669548035,0.41065773367881775,0.27813053131103516,0.26609277725219727,0.39911946654319763,0.3718138635158539,0.34175267815589905,0,0.4173199236392975,0.4266110956668854,0.4153376817703247,0.0,0.0,0.6000000238418579,0.0,0.6000000238418579,0.699999988079071,9,186.10000610351562,997.0,444.70001220703125,9.90000057220459,train,24.0
0.8566119074821472,0.43039190769195557,0.2942569851875305,0.2721313238143921,0.413059800863266,0.39079684019088745,0.35652101039886475,0,0.43259912729263306,0.4417628049850464,0.42266449332237244,0.0,0.0,0.699999988079071,0.0,0.6000000238418579,0.699999988079071,10,172.6999969482422,836.9000244140625,335.0,10.300000190734863,train,23.0
0.844050407409668,0.4414893388748169,0.2843257486820221,0.2726491093635559,0.3800564706325531,0.3883604407310486,0.35687384009361267,0,0.41001206636428833,0.44617125391960144,0.44086524844169617,0.0,0.0,0.800000011920929,0.0,0.800000011920929,0.800000011920929,11,159.90000915527344,816.0,328.0,7.0,train,22.0
0.8607919216156006,0.4490039348602295,0.29512709379196167,0.2534067630767822,0.392347514629364,0.3821467161178589,0.3481477200984955,0,0.42239999771118164,0.42815637588500977,0.4171912372112274,0.0,0.0,0.699999988079071,0.0,0.699999988079071,0.800000011920929,12,157.90000915527344,789.6000366210938,318.1000061035156,9.600000381469727,train,23.0
0.869410514831543,0.45053061842918396,0.30574169754981995,0.26366472244262695,0.4076171815395355,0.3987118601799011,0.36060529947280884,0,0.43523114919662476,0.4381076395511627,0.45084095001220703,0.0,0.0,0.6000000238418579,0.0,0.6000000238418579,0.800000011920929,13,146.10000610351562,768.7000122070312,310.20001220703125,9.5,train,24.0
0.868057906627655,0.44588232040405273,0.31528595089912415,0.2719966471195221,0.45557641983032227,0.4209692180156708,0.37463343143463135,0,0.46381044387817383,0.46496880054473877,0.4828624129295349,0.0,0.0,0.6000000238418579,0.0,0.6000000238418579,0.800000011920929,14,141.5,751.0,304.5,10.0,train,24.0
0.8690723180770874,0.43944525718688965,0.3202515244483948,0.32494983077049255,0.4744882583618164,0.5006545782089233,0.4339250326156616,0,0.475687175989151,0.5054972171783447,0.4963334798812866,0.0,0.0,0.5,0.0,0.6000000238418579,0.699999988079071,15,110.30000305175781,735.6000366210938,303.70001220703125,11.199999809265137,train,25.0
0.7797949314117432,0.2346850484609604,0.27266889810562134,0.16021351516246796,0.2120477259159088,0.18745021522045135,0.18466928601264954,1,0.3079544007778168,0.2761211097240448,0.2761211097240448,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0,4389.7001953125,3395.699951171875,3375.400146484375,43.29999923706055,train,30.0
0.8644060492515564,0.2484203577041626,0.33985447883605957,0.15486285090446472,0.21961699426174164,0.1944805085659027,0.1884666085243225,1,0.3456680476665497,0.2990114092826843,0.2990114092826843,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,1,4278.5,3636.699951171875,3576.699951171875,49.29999923706055,train,30.0
0.8514838218688965,0.25747138261795044,0.33174949884414673,0.1434708684682846,0.22413673996925354,0.20675484836101532,0.19242238998413086,1,0.34365397691726685,0.2915816605091095,0.2915816605091095,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,2,3543.5,3620.900146484375,3643.699951171875,39.60000228881836,train,30.0
0.81843101978302,0.2540566921234131,0.2908117175102234,0.15075190365314484,0.21917206048965454,0.21604548394680023,0.19934910535812378,1,0.32295313477516174,0.2934648096561432,0.2934648394584656,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,3,3378.5,3820.60009765625,3907.199951171875,19.0,train,30.0
