b1_global_mse,b1_oracle_mse,b2_global_mse,b2_oracle_mse,b3_global_mse,b3_oracle_mse,block1_regret,block2_regret,block3_regret,block_mse,delta_block_vs_global,global10_mse,global30_mse,globalU_mse,overlap_b1_b2,overlap_b1_b3,overlap_b2_b3,overlap_g_b1,overlap_g_b2,overlap_g_b3,query_id,rank_b1_of_b3,rank_b3_of_b1,rank_g_of_b1,rank_g_of_b3,relative_gain_block_vs_global,split,unique_u
0.5610544085502625,0.25481340289115906,0.3340360224246979,0.25639232993125916,0.3927343785762787,0.3483923077583313,0.3062410056591034,0.07764369249343872,0.04434207081794739,0.3052484393119812,0.09036242961883545,0.39561086893081665,0.3841544985771179,0.38407471776008606,0.0,0.0,0.1428571492433548,0.0,0.22857142984867096,0.4285714328289032,0,2044.0714111328125,1571.771484375,1312.728515625,147.07142639160156,0.22841240399448626,train,28.571428298950195
0.5892727971076965,0.2730485498905182,0.3388436436653137,0.2612733244895935,0.3937199115753174,0.36842700839042664,0.31622424721717834,0.07757031917572021,0.025292903184890747,0.3199920058250427,0.08150950074195862,0.40150150656700134,0.39371171593666077,0.39189934730529785,0.02857142873108387,0.014285714365541935,0.18571428954601288,0.02857142873108387,0.24285714328289032,0.4714285731315613,1,2053.871337890625,1599.2716064453125,1356.871337890625,71.9000015258789,0.20301169337793395,train,27.85714340209961
0.5736506581306458,0.2677813470363617,0.3481535017490387,0.26913440227508545,0.39836835861206055,0.37347325682640076,0.30586931109428406,0.07901909947395325,0.02489510178565979,0.3246013820171356,0.08039969205856323,0.40500107407569885,0.3962368071079254,0.39342784881591797,0.014285714365541935,0.0,0.2142857313156128,0.0,0.2142857164144516,0.5142857432365417,2,1928.542724609375,1619.1142578125,1300.028564453125,64.25714874267578,0.19851723169389843,train,27.714284896850586
0.5757772326469421,0.25168564915657043,0.34150606393814087,0.2699963450431824,0.4037294089794159,0.38124150037765503,0.3240915834903717,0.0715097188949585,0.022487908601760864,0.3268856704235077,0.07904237508773804,0.4059280455112457,0.4005074203014374,0.39770057797431946,0.02857142873108387,0.0,0.22857142984867096,0.014285714365541935,0.2571428418159485,0.47142860293388367,3,1825.9141845703125,1624.2144775390625,1244.857177734375,60.82857131958008,0.19472016275246068,train,27.428571701049805
0.59241783618927,0.2496016025543213,0.3578672707080841,0.2677067220211029,0.4083590507507324,0.38352805376052856,0.34281623363494873,0.0901605486869812,0.024830996990203857,0.32706406712532043,0.08900552988052368,0.4160695970058441,0.4026021659374237,0.40143924951553345,0.02857142873108387,0.0,0.18571428954601288,0.014285714365541935,0.22857142984867096,0.45714282989501953,4,1790.1712646484375,1499.5570068359375,1096.142822265625,65.95714569091797,0.21391981178397304,train,27.85714340209961
0.6143571734428406,0.2574600279331207,0.3490026295185089,0.2764464318752289,0.40483513474464417,0.3810442090034485,0.35689714550971985,0.07255619764328003,0.02379092574119568,0.32970041036605835,0.08446016907691956,0.4141605794429779,0.40519776940345764,0.40359705686569214,0.0,0.0,0.18571428954601288,0.0,0.27142858505249023,0.44285711646080017,5,1832.7142333984375,1457.071533203125,1049.1285400390625,71.0857162475586,0.20393097090629342,train,28.14285659790039
0.6075387597084045,0.266722708940506,0.33065271377563477,0.27699920535087585,0.4092303216457367,0.37597817182540894,0.34081605076789856,0.05365350842475891,0.03325214982032776,0.3284178078174591,0.08106112480163574,0.40947893261909485,0.40645265579223633,0.4025973677635193,0.014285714365541935,0.0,0.17142857611179352,0.0,0.3142857253551483,0.5000000596046448,6,1848.9000244140625,1544.3858642578125,1137.2000732421875,78.02857208251953,0.19796164916997172,train,28.14285659790039
0.5752647519111633,0.30098143219947815,0.32146796584129333,0.26567816734313965,0.40941980481147766,0.37394508719444275,0.2742833197116852,0.055789798498153687,0.03547471761703491,0.3281276226043701,0.07408756017684937,0.4022151827812195,0.39897456765174866,0.39659348130226135,0.02857142873108387,0.0,0.18571428954601288,0.014285714365541935,0.3285714089870453,0.45714282989501953,7,1829.0858154296875,1494.271484375,1122.7000732421875,89.41429901123047,0.18419881533201216,train,27.85714340209961
0.5550446510314941,0.3047441840171814,0.31512489914894104,0.2566746771335602,0.40861430764198303,0.3668166697025299,0.25030046701431274,0.05845022201538086,0.041797637939453125,0.32182636857032776,0.0751488208770752,0.39697518944740295,0.40519586205482483,0.4005468189716339,0.02857142873108387,0.0,0.2142857313156128,0.014285714365541935,0.2857142984867096,0.4571428596973419,8,1871.3857421875,1560.028564453125,1205.5714111328125,101.82856750488281,0.18930357078910595,train,27.571428298950195
0.5356602072715759,0.2831664979457855,0.3209409713745117,0.26013240218162537,0.4144807457923889,0.3783685564994812,0.2524937093257904,0.06080856919288635,0.036112189292907715,0.32626286149024963,0.07319521903991699,0.3994580805301666,0.4042052924633026,0.4001632332801819,0.014285714365541935,0.014285714365541935,0.20000001788139343,0.014285714365541935,0.2857142984867096,0.5285714268684387,9,1783.914306640625,1670.3714599609375,1260.2572021484375,99.95714569091797,0.18323629589060064,train,27.85714340209961
0.5520960688591003,0.2912695109844208,0.31052637100219727,0.2513680160045624,0.40476277470588684,0.3783665597438812,0.26082655787467957,0.05915835499763489,0.026396214962005615,0.3244207799434662,0.06857433915138245,0.39299511909484863,0.4039706885814667,0.39628341794013977,0.014285714365541935,0.0,0.2142857164144516,0.014285714365541935,0.29999998211860657,0.48571428656578064,10,1996.3287353515625,1563.8287353515625,1182.7572021484375,106.94285583496094,0.17449157971560497,train,27.714284896850586
0.5356932282447815,0.28630542755126953,0.30315619707107544,0.2437227964401245,0.3952409327030182,0.3758835792541504,0.24938780069351196,0.05943340063095093,0.019357353448867798,0.3198862075805664,0.06338673830032349,0.3832729458808899,0.3987685739994049,0.3916780948638916,0.014285714365541935,0.0,0.22857142984867096,0.014285714365541935,0.34285712242126465,0.4571428894996643,11,1854.2286376953125,1744.6143798828125,1359.1142578125,101.35713958740234,0.1653827617669165,train,27.571428298950195
