epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.6721453511220024,0.4352771635284021,0.6321476637787613,0.6321476637787613,1.0578626381535425,0.44005345805436313,0.6374160324895526,0.32617634534835815,0.0,0.0,0.4010002911090851,0.4897769093513489,0.09366453438997269,0.03998636081814766,0.0,0.00021300204389262944,0.004244121722877026,0.14822080731391907,0.3110874593257904,0.11411913484334946,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
2,0.6528604592495877,0.433488918310914,0.6329069291189782,0.6329069291189782,1.0578626381535425,0.4374734875473252,0.6369440562895212,0.3057936131954193,0.0,0.0,0.45206183195114136,0.48052552342414856,0.0802496075630188,0.03180661052465439,0.0,6.8310488220298636e-15,5.092585524835158e-06,0.1292281448841095,0.2549395263195038,0.10287944227457047,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
3,0.6903387492367937,0.44725919168524286,0.6402995683487458,0.6402995683487458,1.0578626381535425,0.44745953681341766,0.6397155593047679,0.11483608931303024,0.0,0.0,0.8221531510353088,0.4226533770561218,0.027904590591788292,1.2741013222239417e-07,0.0,7.902370975998217e-35,2.102619319364267e-15,0.0016661456320434809,0.13559094071388245,0.06973740458488464,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
4,0.6221643620933867,0.4286280109958972,0.6214141772366334,0.6214141772366334,1.0578626381535425,0.4289763190141906,0.6214166527631181,0.09983153641223907,4.185370198683813e-05,0.0,0.8316644430160522,0.7346665263175964,0.025985298678278923,8.874246191226121e-07,0.0,2.020564198554987e-30,1.933761039751153e-13,0.0016638307133689523,0.09963537752628326,0.06818228214979172,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
5,0.7030405890371395,0.4336178854181744,0.6228066128587756,0.6228066128587756,1.0578626381535425,0.43408606136034045,0.6225878057913278,0.11327704042196274,0.0001360245223622769,0.0,0.8093459606170654,0.5813275575637817,0.03025960549712181,1.3386180626184796e-06,0.0,5.1081962921806696e-33,7.339638066154036e-14,0.0038165603764355183,0.12672922015190125,0.07399717718362808,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
6,0.6384958508643003,0.42528623405544774,0.6152366134645098,0.6152366134645098,1.0578626381535425,0.42926372696920206,0.6189638323991093,0.271075963973999,0.00047085413825698197,0.0,0.5214133858680725,0.691845178604126,0.07212848961353302,0.015599630773067474,0.0,1.5159811186568354e-27,5.245646139684368e-10,0.11212629079818726,0.2614283859729767,0.10176171362400055,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
7,0.6185862867948381,0.4349723148852976,0.6292884540204948,0.6292884540204948,1.0578626381535425,0.4377864270089086,0.6315459672774364,0.26290401816368103,0.00020926850265823305,0.0,0.5194253325462341,0.6635429263114929,0.06604418158531189,0.016601186245679855,0.0,1.2536332671620114e-18,2.61920320099307e-07,0.10775242745876312,0.23597830533981323,0.09086465835571289,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
8,0.6615048797283362,0.43093570464156083,0.6280491551547192,0.6280491551547192,1.0578626381535425,0.4337515706604725,0.63012671271373,0.27220600843429565,0.00039761015796102583,0.0,0.5377572774887085,0.5727495551109314,0.06973668932914734,0.012638688087463379,0.0,1.0587966114309033e-22,1.2487571865449354e-08,0.11385779827833176,0.25471392273902893,0.09826687723398209,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
9,0.6796689411954759,0.42765533010189705,0.6224708966007239,0.6224708966007239,1.0578626381535425,0.4322179395977351,0.6271802448476896,0.3169266879558563,0.00019880507898051292,0.0,0.47908884286880493,0.6061195731163025,0.08051928877830505,0.024874936789274216,0.0,1.769873054606737e-22,3.1915170950469474e-08,0.14127710461616516,0.2688581645488739,0.10304723680019379,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
10,0.6558280660088311,0.42710013986929,0.6200950788595289,0.6200950788595289,1.0578626381535425,0.43151987291897737,0.6252915174833842,0.31488630175590515,0.002124075312167406,0.0,0.5211622714996338,0.7549452185630798,0.08008407056331635,0.015404462814331055,0.0,1.3196040105327032e-16,5.609666686723358e-07,0.14409446716308594,0.26487064361572266,0.10948764532804489,0.5749621694275213,1.0578626381535425,0.5749621728335842,1.057862647009306
